Dataset and Mouse,Number of runs,Number of runs std,Mean number of steps,Mean number of steps std,Mean step height,Mean step height std,Mean step length,Mean step length std,Mean step duration,Mean step duration std,Mean step frequency,Mean step frequency std,Mean propulsion vector angle,Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
pre - corridor,47.0,,2.6808510638297873,0.8777723976483518,0.005387443288583542,0.0008240994603889571,0.08104971397137682,0.009633278086609404,0.24320998458512205,0.06682987607697866,4.794207798049297,0.06682987607697866,5.35549619637541,1.7453387862420098,0.7400589906052,0.42872116186190096,0.2797720682798081,0.08200802912602768,-0.0005153350882166409,0.05115652672962576
,,,,,,,,,,,,,,,,,,,,
post - corridor,55.0,,2.272727272727273,0.8410933459069365,0.0054698234682594455,0.0006757600926603459,0.08076309799870134,0.008942132552144044,0.24427548482312325,0.05190602593139006,4.68691703142714,0.05190602593139006,5.632210059269238,1.50522777270657,0.6967188885604493,0.4036986916719674,0.2600770424472445,0.08051735315011059,-0.00015816890734509986,0.046120971308184856
,,,,,,,,,,,,,,,,,,,,
