Dataset and Mouse,Number of runs,Number of runs std,Mean number of steps,Mean number of steps std,Mean step height,Mean step height std,Mean step length,Mean step length std,Mean step duration,Mean step duration std,Mean step frequency,Mean step frequency std,Mean propulsion vector angle,Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
post - corridor,60.0,,2.6333333333333333,0.9994442900376633,0.006704958842350883,0.0010232350995143566,0.08461408740027342,0.009673711578810293,0.2198759514693366,0.05741372805958683,5.200114627499317,0.05741372805958683,12.61486237974962,6.252048854622473,0.6555622942297695,0.3799367438104646,0.30008053394479695,0.08338328352738189,0.00023907668039446387,0.04926151541616694
,,,,,,,,,,,,,,,,,,,,
pre - corridor,63.0,,2.6825396825396823,0.9730560078726415,0.006592475807273779,0.0011162416463010576,0.0827664877946269,0.009708759529652741,0.23253201016775135,0.06408766534867133,5.316486794601019,0.06408766534867133,15.27975053742163,7.538575269407259,0.7162425028367646,0.4149705097064894,0.2894174981423297,0.09985067694193775,0.0007470723644316491,0.0523493944762132
,,,,,,,,,,,,,,,,,,,,
