Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean angle excursion - rhindlimb - hip (°),72.3489656476545,4.13834260400147,20,72.6746181856273,5.2899330189472,20,70.8737436455652,3.892395843096,20,0.405555355935284,1,0.906969718495117,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - hip std,3.9490763824206,1.48260837728595,20,4.32047074257147,2.12407664928705,20,3.26398915337562,1.73586466054374,20,0.179140534293194,1,0.70140319512435,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - knee (°),32.4810462050842,4.4257743595721,20,33.821217487474,6.19981653275037,20,32.2119654916282,4.0792569354057,20,0.553820380720708,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - knee std,4.58296507190628,3.24872927262542,20,4.57312139458826,2.643702499433,20,4.62025005511345,2.48480417176998,20,0.998437796862225,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - ankle (°),88.3649899379369,5.79934274356803,20,73.3754371187987,8.8621687012683,20,71.8174672343764,13.0759083254263,20,1.05453118985207e-06,2.68386554008073e-05,4.25916780551131e-06,1,1,Worsening,NaN,1.55796988442222
Mean angle excursion - rhindlimb - ankle std,6.87297552381315,3.39954604056647,20,5.90119016238817,3.59757004406477,20,7.37784271409306,3.33901886568131,20,0.393508783594758,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - lHindpaw (°),65.6455476877081,10.0155442479074,20,58.963248239955,2.90105105308148,20,57.105855427691,2.56517432906765,20,0.000131501267318635,0.0036153902337354,0.000167547409487434,1,1,Worsening,NaN,1.85739281226402
Mean angle excursion - rhindlimb - lHindpaw std,6.73983495485716,7.06545215267482,20,3.01194598001787,1.30625707325278,20,2.73623544046576,1.78861149180447,20,0.00669960606861691,0.0234314259880981,0.0133703622163753,1,1,Worsening,NaN,0.275710539552108
Mean angle excursion - rhindlimb - lHindfingers (°),109.848134889966,12.6909052556774,20,106.534976712009,11.5029215293265,20,102.992624327256,11.6708001265008,20,0.20268050244784,1,0.225924807250636,0,0,No effect,NaN,NaN
Mean angle excursion - rhindlimb - lHindfingers std,11.297514508875,5.69719191831887,20,8.40764200787812,4.28760969934211,20,10.5318148471911,5.76173640495358,20,0.210747414363994,0.268954108811668,1,0,0,No effect,NaN,NaN
Mean angle excursion - spine - head (°),18.5446910779575,7.21564715237556,20,20.5362805162613,5.19497352373892,20,22.3877772413436,3.49750464512406,20,0.0972903580522666,0.775035395286687,0.0949293888243437,0,0,No effect,NaN,NaN
Mean angle excursion - spine - head std,6.09303557505844,5.83982657713511,20,5.73796190108736,3.41841399548675,20,7.58143580642405,3.63088370375001,20,0.384023017727526,1,0.878701022612538,0,0,No effect,NaN,NaN
Mean angle excursion - spine - spine 1 (°),24.0190898246295,5.93725633161711,20,24.3286293968333,3.89644263734707,20,25.9549667782703,3.3099435272883,20,0.35423091989212,1,0.543910965400933,0,0,No effect,NaN,NaN
Mean angle excursion - spine - spine 1 std,5.67689620532446,5.56655997861087,20,4.74947633233321,2.0726849317377,20,5.21902421742148,1.92543501791695,20,0.719637754465427,1,1,0,0,No effect,NaN,NaN
