Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean step velocity X during swing - elbow std,0.0490207059367614,0.0223107128655696,20,0.0274550418845257,0.015764442402243,20,0.0214277696218342,0.0118764001595616,20,9.70213967017185e-06,0.000620668832724356,1.33377477800979e-05,1,1,Worsening,NaN,0.00602727226269149
Mean step velocity X during swing - wrist (m/s),0.0606501482103877,0.0345857152376851,20,0.0637700024070292,0.0282897875016666,20,0.0466427537657607,0.0174243451314873,20,0.123438110970165,1,0.345564981206557,0,0,No effect,NaN,NaN
Mean step velocity X during swing - wrist std,0.030377251090193,0.018457408350931,20,0.0171883627986415,0.0129666525716,20,0.0149721642690627,0.00747463037583226,20,0.00142298060670998,0.0107095971515751,0.00233472452417142,1,1,Worsening,NaN,0.00221619852957883
Mean step velocity X during swing - lForepaw (m/s),0.0391450500302177,0.0326566674472928,20,0.0300245051795637,0.0259958444176047,20,0.0163551342305819,0.0139248821773288,20,0.0221316490700896,0.782996851898387,0.0188949853776417,0,1,No effect,NaN,NaN
Mean step velocity X during swing - lForepaw std,0.0267869862847399,0.0219731032725935,20,0.0144294056121871,0.0105880081227789,20,0.0129526705300586,0.00514142751729631,20,0.0061574989965964,0.026241243500844,0.0107138772933851,1,1,Worsening,NaN,0.00147673508212851
Mean step velocity X during swing - hip (m/s),0.257686948145439,0.0427958219891868,20,0.270031936260341,0.0515952321328806,20,0.231862404875098,0.0252522984400996,20,0.016197760369286,1,0.159489931208925,0,0,No effect,NaN,NaN
Mean step velocity X during swing - hip std,0.0612567217925289,0.0298932506884808,20,0.0396108459661734,0.0200984014536616,20,0.0308283721204504,0.0188216959841761,20,0.000429864454843365,0.0151380069736089,0.000396665840075371,1,1,Worsening,NaN,0.00878247384572295
Mean step velocity X during swing - knee (m/s),0.36637966693557,0.0555284388620193,20,0.384730569413099,0.0644087195086781,20,0.341938176631171,0.0313772986440953,20,0.0415330248094181,0.81644235977341,0.435630788506699,0,0,No effect,NaN,NaN
Mean step velocity X during swing - knee std,0.0716692865170847,0.037975339235881,20,0.0482268984912913,0.025702154623159,20,0.0400918731499734,0.0225713866019709,20,0.00373977497884606,0.044556780430561,0.00389344024363128,1,1,Worsening,NaN,0.00813502534131784
Mean step velocity X during swing - ankle (m/s),0.407621341529265,0.0606841677888775,20,0.424539735249099,0.070261307502243,20,0.380896130489394,0.0340425237919668,20,0.059233222617708,1,0.4328867598244,0,0,No effect,NaN,NaN
Mean step velocity X during swing - ankle std,0.0752178837611233,0.0381058998809902,20,0.0498090078626331,0.0269913075398324,20,0.043855204788153,0.0244731850294988,20,0.00435670950938669,0.0320501836143542,0.00567516997573625,1,1,Worsening,NaN,0.00595380307448019
Mean step velocity X during swing - lHindpaw (m/s),0.492002181984288,0.0721750300648111,20,0.51450727218542,0.0764151396344703,20,0.467613036163226,0.0439217179120447,20,0.0875108049026158,0.851372239801643,0.737469616400931,0,0,No effect,NaN,NaN
Mean step velocity X during swing - lHindpaw std,0.0861692424180912,0.0437824080624774,20,0.0582478212279822,0.0309375280327828,20,0.0524889276187534,0.0275524238146832,20,0.00736621769495941,0.0418051653087311,0.010098873845027,1,1,Worsening,NaN,0.0057588936092288
Mean step velocity X during swing - lHindfingers (m/s),0.520687437162191,0.0754144954183443,20,0.541334333279488,0.0790574502706474,20,0.495102944242474,0.0506977233621792,20,0.118105331891985,1,0.748513133411871,0,0,No effect,NaN,NaN
Mean step velocity X during swing - lHindfingers std,0.0895992718755054,0.0454608070657466,20,0.0602207868148949,0.0325429042455427,20,0.0556152554345731,0.029606887097942,20,0.00920881978517297,0.0411339236115749,0.0141128735220833,1,1,Worsening,NaN,0.00460553138032171
Mean step velocity X during swing - head (m/s),0.243955423085584,0.0416074514083136,20,0.253450421850476,0.051101913630852,20,0.214714622242154,0.0233680724747851,20,0.00996110211245899,1,0.0771106848918365,0,0,No effect,NaN,NaN
Mean step velocity X during swing - head std,0.0604468712019477,0.0291242836456829,20,0.0390993158983584,0.0192771113137247,20,0.0298469427480602,0.0173865738494349,20,0.000235329259383776,0.0120996253699364,0.00020556430868887,1,1,Worsening,NaN,0.00925237315029821
Mean step velocity X during swing - spine 1 (m/s),0.243121442875254,0.0409909479951,20,0.252061762506899,0.0520417995570789,20,0.213533103155662,0.0238380652223177,20,0.0106680908780871,1,0.0750548244567683,0,0,No effect,NaN,NaN
Mean step velocity X during swing - spine 1 std,0.0621238963790297,0.0298818647380896,20,0.0392698553673421,0.018720220182399,20,0.0311078488638172,0.0178550729599268,20,0.000199817077505968,0.00742168845794499,0.000204006323819635,1,1,Worsening,NaN,0.00816200650352493
Mean step velocity X during swing - spine 2 (m/s),0.242930947263252,0.0419244409483089,20,0.251238860919027,0.0507671432218888,20,0.214236228297515,0.0247244975701835,20,0.0143987662608591,1,0.0881146681426387,0,0,No effect,NaN,NaN
Mean step velocity X during swing - spine 2 std,0.0620471199290361,0.0288012047095808,20,0.0389646802824306,0.0191395974426592,20,0.0310777994993534,0.0190192874420438,20,0.000192576878661539,0.00667180665227342,0.000204096547560824,1,1,Worsening,NaN,0.0078868807830772
Mean step velocity X during swing - spine 3 (m/s),0.243137005002429,0.0410114260766236,20,0.252196640317453,0.0491068004045591,20,0.213591454969329,0.0261522121267109,20,0.009026673155403,1,0.0682083566206757,0,0,No effect,NaN,NaN
Mean step velocity X during swing - spine 3 std,0.0628971697348727,0.028355217149502,20,0.0395100396648408,0.0196868638316164,20,0.0315988309085284,0.0189282702908828,20,0.000157135988439983,0.00575114690264361,0.000168354837862301,1,1,Worsening,NaN,0.0079112087563124
Mean step velocity X during swing - spine 4 (m/s),0.243277965480563,0.0407839130051965,20,0.25292087586473,0.0496417749483585,20,0.214868801197092,0.027062490459812,20,0.0115287509287552,1,0.0886780355612577,0,0,No effect,NaN,NaN
Mean step velocity X during swing - spine 4 std,0.0610827917654649,0.0282909495141956,20,0.0385831103535872,0.01969283244072,20,0.0308931598974876,0.0188918006816095,20,0.000263260275599649,0.00814388263764828,0.000278059318947779,1,1,Worsening,NaN,0.00768995045609968
Mean step velocity X during swing - base (m/s),0.246836134398888,0.0420876844810154,20,0.255663482110747,0.0516787615693785,20,0.218703091032136,0.0270380666023101,20,0.0178912222491442,1,0.109336246338216,0,0,No effect,NaN,NaN
Mean step velocity X during swing - base std,0.0601625265523157,0.0301972821074661,20,0.0375711883352025,0.0191805669966058,20,0.0309795963830348,0.0197451616982716,20,0.00062643684459617,0.0110728733027009,0.000739411684548934,1,1,Worsening,NaN,0.00659159195216768
Mean step acceleration X at stance - shoulder (m/s^2),0.976550795955796,4.570546701752,20,1.77124158696934,1.65317421993679,20,0.682544945562683,3.55008320375789,20,0.594167326813613,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - shoulder std,2.80600307298749,3.57578707216158,20,1.90171720275669,0.950791248632142,20,2.91870824098609,4.11652336874036,20,0.547574830036385,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - elbow (m/s^2),4.90452666796568,5.98572841026871,20,5.55698327841569,3.59008948457676,20,3.0263564372566,3.11804005625055,20,0.179177787686418,1,0.551205263333727,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - elbow std,4.17609287329705,3.29199858054044,20,2.62365808313165,1.15448586960004,20,3.00679386437236,3.15523364633299,20,0.17896529263879,0.22779144411223,0.536077933086363,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - wrist (m/s^2),17.3621454410061,11.1728412110776,20,19.2902881857124,8.46334173998521,20,15.4037764456108,4.95228624996526,20,0.365204029137289,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - wrist std,9.02458648981971,6.73110886932587,20,5.74773482255358,3.10735110014602,20,6.50184509415015,3.75661636777985,20,0.0863116917596718,0.105095439406039,0.305686715821121,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - lForepaw (m/s^2),25.4363899113482,16.5355793399123,20,32.3467233022554,10.4857282864597,20,23.6640285425334,6.02925228780567,20,0.057254916815538,0.209615473612125,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - lForepaw std,13.0958121822404,5.99227441770027,20,8.5098098060835,4.31206195561814,20,8.88981325070993,4.64917989881569,20,0.00912290254976711,0.0168216727402383,0.0319833682570612,1,1,Restoration,0.380003444626436,NaN
Mean step acceleration X at stance - hip (m/s^2),-1.17160344002252,2.02936561076369,20,-1.6319735734919,1.53831656661886,20,-1.74518904854085,1.94590580413429,20,0.586198588864205,1,0.99328395862177,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - hip std,1.88630218058815,1.64408128300848,20,1.43160890844326,0.695630536456792,20,1.76702877369509,1.75315537941712,20,0.589926329206414,0.971317729924056,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - knee (m/s^2),-8.65984431926628,6.66570265685609,20,-6.48028738985044,4.23567201210201,20,-5.86113030922809,3.96870907469282,20,0.199242070069337,0.546448082040501,0.264800487706142,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - knee std,4.46767164863863,2.58891281300566,20,2.79609199921673,1.65942963540823,20,4.13197389937552,2.33583900844599,20,0.0505804374970734,0.0634437114954419,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - ankle (m/s^2),-12.8296306323933,8.01395047325502,20,-10.5666026243014,4.68159672155965,20,-9.5773278825049,4.24762855049065,20,0.210674608448352,0.688838134260919,0.259001048244348,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - ankle std,6.65564873826117,4.28416038976421,20,4.11528961736545,2.00769290391875,20,5.52581462150219,2.80012216254518,20,0.0475087498622569,0.0424889301655991,0.795142534185928,1,0,No effect,NaN,NaN
Mean step acceleration X at stance - lHindpaw (m/s^2),-14.6339883491128,8.97443082501911,20,-11.3062342691366,4.95234547840933,20,-10.3453034935645,5.58367300212457,20,0.11676526137992,0.37179369158263,0.146715520251054,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - lHindpaw std,7.60311544644406,3.88601802345319,20,4.54725953683601,2.96915527715378,20,5.709483174685,3.35426069990618,20,0.0224873642136474,0.0196555547609031,0.257039103942419,1,0,No effect,NaN,NaN
Mean step acceleration X at stance - lHindfingers (m/s^2),-14.4611425162002,9.01172187723587,20,-11.8046130799174,5.02102895972602,20,-10.164095875852,5.53430785476993,20,0.137018554522436,0.656983268767042,0.147374692950631,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - lHindfingers std,6.60412401471602,3.84843702689603,20,5.00339794179321,2.39186574952239,20,5.72131849274425,4.03799728257298,20,0.357616750399474,0.462168012701148,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - head (m/s^2),-0.443092866523982,6.3726059746522,20,1.41618670311157,1.24804407228578,20,0.0579866543871643,5.16688373813581,20,0.451522876099841,0.674399393103334,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - head std,2.66457421402827,5.19203945129127,20,1.37975960193685,1.00642687527123,20,2.9099265661797,6.40543452944609,20,0.559153741558782,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 1 (m/s^2),-0.415599250068728,5.44948652056435,20,1.38573305683448,1.87292961755806,20,0.571868670000464,4.16334273427059,20,0.386724542788323,0.51174647595224,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 1 std,2.78385428758876,3.43083554781173,20,2.54511811093204,1.30454648685529,20,3.64154325722392,4.91250853930417,20,0.59121518070921,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 2 (m/s^2),-0.555824051113511,4.60542720694541,20,1.19516443110405,1.87187382853821,20,-0.368606434623903,3.65839822037842,20,0.241745942844018,0.377304433762315,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 2 std,2.97613013767978,2.21574410907138,20,2.18055400052059,1.37116356816661,20,2.82357654079825,3.36097546525625,20,0.556882201972045,0.929577485594435,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 3 (m/s^2),-0.139021247432879,2.30199584196424,20,0.129502366146261,2.31195196138497,20,-0.712814336336185,2.20965000594408,20,0.493318845822808,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 3 std,2.2204560620131,1.49921134243569,20,2.03748008555164,1.21921981008622,20,2.36306158132332,2.23378914291458,20,0.833092601136806,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 4 (m/s^2),-0.424454545269147,1.8977268840944,20,-1.62068807334835,1.74305550690501,20,-1.37783996948268,1.86631518462978,20,0.102650794254008,0.132121211326797,0.318745155759011,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - spine 4 std,2.38697730821574,1.594038720325,20,2.438113428079,1.42726033462457,20,2.03874501508366,1.34843763641235,20,0.644280218705659,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - base (m/s^2),-2.1256050364552,1.32279248975434,20,-3.09198851674404,1.47966192093132,20,-2.32863115505667,1.49923387020346,20,0.0895575104632802,0.113018271406167,1,0,0,No effect,NaN,NaN
Mean step acceleration X at stance - base std,1.57805997627661,0.811919328881359,20,1.97750503601159,1.01092810564975,20,1.55496383520445,0.85176242724721,20,0.253241740407308,0.491665796364046,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - shoulder (m/s^2),-0.639880013159245,2.17233449573427,20,-0.425073850415814,1.34221447818248,20,-0.107859662500566,1.38864193829316,20,0.603968920629582,1,0.961003028587536,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - shoulder std,2.08356863574568,1.29971342648593,20,2.23370966990189,1.04086343031161,20,2.07062958514172,1.20946225485921,20,0.890321306796542,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - elbow (m/s^2),-3.40028673387931,2.5040158314321,20,-2.77503246380324,2.73237302173112,20,-1.66181671648221,1.27465861465842,20,0.0562227264200973,1,0.05487708502449,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - elbow std,3.32179621380615,2.46506543783621,20,2.56082720061266,1.58249512192422,20,2.32641781609591,1.10572014703872,20,0.199693031809564,0.565285558944548,0.261108784019911,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - wrist (m/s^2),-5.23024180306289,3.44134885202761,20,-5.59173265336078,4.25900545497981,20,-2.82671145888449,1.84593354977949,20,0.022487034593533,1,0.0794327443992282,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - wrist std,4.4139387311993,3.45927735745637,20,3.76478062160575,2.33198485077582,20,2.5845705753567,1.56381031500427,20,0.0830697388997441,1,0.0851917075968535,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lForepaw (m/s^2),-5.24323218344249,3.33432573782453,20,-5.37105261338806,4.76226895930145,20,-2.66697401660094,1.78958693164152,20,0.0288789753703177,1,0.0718674402939349,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lForepaw std,4.54468751813631,3.3324248988527,20,4.0956677087369,2.92439941814244,20,2.68906105116206,1.29605608787506,20,0.0804000972633985,1,0.095556706172689,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - hip (m/s^2),1.34596032200401,1.35627718576007,20,1.54942915780637,1.39383021646216,20,1.08999177154651,1.20991421079614,20,0.548917278148389,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - hip std,2.04225667693038,1.02267908124563,20,2.38459472707584,1.24909825254304,20,1.97314158512036,1.19380833736016,20,0.489923880728775,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - knee (m/s^2),5.95886795110086,3.59470870364187,20,6.59425972406536,3.70048980531791,20,5.75279655793984,2.20825539655412,20,0.694762680362119,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - knee std,3.22445109226831,1.37372003544497,20,2.98831840009607,1.84765648704809,20,2.60998227920795,1.34042219674966,20,0.448953307935182,1,0.634885485962697,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - ankle (m/s^2),4.85622380267284,3.14181025610927,20,7.38826978484031,3.87926766615043,20,5.41188294649219,2.51732235464545,20,0.0402887469783458,0.0482735867277264,1,1,0,No effect,NaN,NaN
Mean step acceleration X at swing - ankle std,3.36925614444681,1.37748567400658,20,3.60844585452948,2.49660883452793,20,3.25994044415578,1.9555190063837,20,0.852990198910523,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lHindpaw (m/s^2),11.6835540437201,5.14384455898403,20,14.9733083386561,5.2335686169929,20,13.9738495106455,5.41198383901418,20,0.137759022929283,0.158950955456443,0.52281314036898,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lHindpaw std,6.20356672276206,3.83802252259556,20,4.63624100277609,3.29398789776192,20,4.55620228232207,3.43466112159235,20,0.258624484680474,0.497098238518379,0.436456583279482,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lHindfingers (m/s^2),11.8031403983098,4.47116267630362,20,13.5944058338042,6.72932408771708,20,14.772937538621,6.27072767449132,20,0.285153777868707,1,0.351776415682681,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - lHindfingers std,6.16285486760849,3.70457564151073,20,4.85117997193038,3.66919771888303,20,5.46874920661347,3.91182888887211,20,0.547891335524741,0.825064678475699,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - head (m/s^2),-0.0653657696351252,1.16155102162123,20,0.111900615132713,1.72689012777807,20,0.0287357385661574,1.13587256414345,20,0.91958761229484,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - head std,2.1793893590025,1.11761331491257,20,1.70946361349641,1.4167393481087,20,1.60998160348911,0.940546178323638,20,0.269918175377422,0.633195081134578,0.392690182543191,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 1 (m/s^2),-0.0723170541168633,1.20816184270988,20,0.55862442391784,1.21355771915217,20,-0.400582064740468,1.58556615237046,20,0.0816968542301656,0.432503823963387,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 1 std,1.9977896595162,0.970863353869081,20,1.82559502937367,1.11147730354452,20,2.26370940216816,1.33725883527115,20,0.48305370950774,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 2 (m/s^2),-0.148212280011142,1.84654860146865,20,0.810137771940244,1.97116534384471,20,0.326368883585475,1.68137124324483,20,0.264594761404145,0.313418324175025,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 2 std,2.36524796422329,1.04047324014171,20,2.42584004547136,0.891748885533142,20,2.1023279545705,1.00058345510001,20,0.54344606705064,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 3 (m/s^2),1.38444125899986,1.74412800869657,20,1.30430889912389,1.58535939834312,20,0.387793488069579,1.63843175306452,20,0.116531905258092,1,0.186802675210426,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 3 std,2.45620941564708,1.10899032876269,20,3.28001268199855,2.1315463342989,20,2.40893545056913,1.19985391057061,20,0.14527333922295,0.295253827211014,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 4 (m/s^2),-0.0540786816255104,2.70770713861043,20,-0.1136731520074,2.41285465770676,20,-0.0260974824492155,1.57097791276661,20,0.992346237619409,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - spine 4 std,2.85451292510204,1.57403193152677,20,3.13506094502935,2.16522458589424,20,2.46031978817525,1.70652799426975,20,0.508670427106154,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - base (m/s^2),-1.26548804335234,1.26089139860385,20,-1.95260724113455,1.22210768873139,20,-1.46900817761783,1.22430591951499,20,0.204716153631773,0.252283305661308,1,0,0,No effect,NaN,NaN
Mean step acceleration X at swing - base std,2.05872530276391,1.08121470980018,20,1.75361108149485,1.12452792814,20,1.64293188118876,0.933076653421655,20,0.436118594012277,1,0.646112789615772,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - shoulder (m/s^2),-0.445736145309891,1.19665036057591,20,-0.243764046434276,1.72361588434896,20,-0.395268421600932,1.01363260759816,20,0.885307536271253,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - shoulder std,1.84287831687916,0.827730883288843,20,2.04958338054453,0.914145804631264,20,1.51353604233588,0.734336414489021,20,0.1283456167032,1,0.641846871568455,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - elbow (m/s^2),0.647163260828755,1.3099817483905,20,1.13627550304099,1.8419338519726,20,1.18999755065798,1.18145372926054,20,0.443295900554808,0.893888981951881,0.745672663457559,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - elbow std,1.90116687918843,1.16828191077053,20,1.86952947983889,1.48313739677947,20,1.8725547638346,0.848323990097601,20,0.995740901934453,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - wrist (m/s^2),0.959902718247867,2.14248078033661,20,1.67978362145295,1.55391149382336,20,1.86507090784304,1.39530641837991,20,0.224752900857904,0.578473529838654,0.309011632093555,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - wrist std,1.83768064301107,1.62197273202934,20,1.67827466059058,1.39863929724157,20,1.40609953802885,1.24163625040383,20,0.629718093520623,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - lForepaw (m/s^2),-0.272320708355167,1.9384816245447,20,0.0394626280955309,1.33343492833605,20,0.649456203574725,1.35869605858933,20,0.176750994763224,1,0.204899319218771,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - lForepaw std,2.33175153275406,2.19867996105766,20,1.36879495422447,1.35257594907773,20,1.40512455112426,0.835972886830009,20,0.097331693215567,0.170581153811401,0.199664308428473,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - hip (m/s^2),-1.48755497865676,1.62500796978372,20,-1.40334517850975,2.28555534344411,20,-1.1516384473338,1.16989348306483,20,0.820514320842934,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - hip std,1.95046552056523,0.844975892018036,20,1.6339971952857,1.11448171133242,20,1.637243946869,0.909757823574238,20,0.4948515644712,0.909698565614173,0.924523488426297,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - knee (m/s^2),-0.451473453597655,4.83137140734037,20,-1.96486014993783,3.22101759081975,20,-0.297320739748849,3.05465914838192,20,0.313612049113058,0.634787968237514,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - knee std,5.59473500649567,2.29139402470495,20,3.67347913603803,2.19907268569305,20,3.46931512483333,1.71885235688146,20,0.00330098771773185,0.015269580808278,0.00628635747011677,1,1,Worsening,NaN,0.204164011204698
Mean step acceleration X at peak - ankle (m/s^2),1.5767372002114,4.40541440432537,20,-0.632266476701187,4.15630072196669,20,0.784663279815833,3.20550545730162,20,0.210765699355273,0.248433740514833,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - ankle std,6.45819579487742,3.73268916664132,20,4.16539338201006,2.02713566183838,20,3.41043334696616,2.26452267710133,20,0.00281020645323337,0.0347378051461152,0.00301465106201226,1,1,Worsening,NaN,0.754960035043897
Mean step acceleration X at peak - lHindpaw (m/s^2),1.62948862947518,6.31628660315761,20,-4.38907955761866,5.62297235145129,20,-2.33995796666525,5.68829234020289,20,0.00706751125311832,0.00608866967352286,0.111660879670066,1,0,No effect,NaN,NaN
Mean step acceleration X at peak - lHindpaw std,9.99844362980167,5.33996961171484,20,6.12983026902795,3.61778821283589,20,6.29524175368892,3.39626741214144,20,0.00710435469234394,0.0155800701329307,0.0219080293854607,1,1,Restoration,0.165411484660971,NaN
Mean step acceleration X at peak - lHindfingers (m/s^2),7.15065337588346,7.60887961283148,20,-4.81738309448063,8.12094525885245,20,-2.88378531882206,8.84833168172596,20,3.74784951166981e-05,6.93704890420379e-05,0.000858945863744692,1,1,Restoration,1.93359777565858,NaN
Mean step acceleration X at peak - lHindfingers std,10.3042343714053,5.58046870088923,20,8.80391369679726,4.46468453018169,20,8.48600096647374,4.55009204347842,20,0.459527671477964,1,0.734074172040045,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - head (m/s^2),-0.266813738363319,1.48039282676997,20,-0.400573611959959,1.34407823207404,20,-0.242965301473554,0.898482531583497,20,0.913961422153347,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - head std,1.47144901986871,0.64120883145613,20,1.35325132279086,0.824447917162689,20,1.29859728459213,0.674036008367771,20,0.739704134707126,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 1 (m/s^2),-0.485102288511137,1.87805648870575,20,-0.383850022823901,1.39504117506984,20,-0.688433290028476,1.22108906311096,20,0.81338969505831,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 1 std,1.59505657948682,0.733740804737879,20,1.71835413202023,1.16173929870321,20,2.08493234292934,0.791263685519604,20,0.221166512235438,1,0.288198545317465,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 2 (m/s^2),-0.425416086139902,1.70164054656174,20,-0.63865263379125,1.85818214522259,20,-1.14086229495065,1.79538577533274,20,0.434545766464478,1,0.631347482892615,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 2 std,2.39195465409236,1.47208445940769,20,2.26041079750174,0.975119920144261,20,1.99620012306397,1.17455608926543,20,0.584590049648307,1,0.933126990376047,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 3 (m/s^2),-1.50608532623608,2.31797719395502,20,-1.45768465610018,2.49005816054203,20,-1.55567343139153,1.5813461519668,20,0.989820001545585,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 3 std,2.17987852539992,1.00602629698055,20,2.1879050374779,1.48556233313896,20,1.77535165051945,1.04751092935513,20,0.466131149308705,1,0.872105229301928,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 4 (m/s^2),0.00661743787788599,1.65983532880325,20,-0.575599238011358,2.47373230287367,20,-0.370248914575792,1.35486031073757,20,0.616098144625523,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - spine 4 std,2.33347134273189,1.2109072986542,20,2.5102784003699,2.03675388890316,20,2.02842970672796,0.908574635999505,20,0.577970075149304,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - base (m/s^2),0.04623871889514,1.61447440493795,20,0.443659608316765,1.09493077963797,20,0.867440953646322,0.940292815365515,20,0.124929248016429,0.957169120066047,0.126946366633743,0,0,No effect,NaN,NaN
Mean step acceleration X at peak - base std,1.52252319917779,0.865366674261201,20,1.64206225946335,0.96833218177893,20,1.2005887381715,0.681262689104429,20,0.242032198192372,1,0.702556434567134,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - shoulder (m/s^2),-3.53710328941182,22.6599887929498,20,1.7867095134081,1.8883509671612,20,-8.75511085634479,47.5513762535217,20,0.552220924053311,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - shoulder std,9.10335075563503,30.7372423144252,20,1.66074087314669,0.724253182844672,20,14.2767919075407,55.4950397723667,20,0.552480425184079,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - elbow (m/s^2),-0.439503184764399,22.2488456100362,20,4.67699407068977,2.50481247191867,20,-7.22506002114126,46.3770546063659,20,0.451465803949427,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - elbow std,9.92078096244342,28.7717120642341,20,2.51536858928011,1.61689075560396,20,14.2755972719816,53.8303820286654,20,0.569308416873376,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - wrist (m/s^2),13.2786456589185,22.5822435538458,20,20.7269652733588,8.13489450511523,20,6.22032606999317,46.5276344216501,20,0.323271419157413,1,1,0,0,No effect,NaN,NaN
Mean step acceleration X at touchdown - wrist std,15.8806623720864,29.5872679934519,20,5.95930410935071,3.26603766836708,20,17.473025184139,53.2250735487823,20,0.537333999835933,1,1,0,0,No effect,NaN,NaN
