Dataset and Mouse,Number of runs,Number of runs std,Mean number of steps,Mean number of steps std,Mean step height,Mean step height std,Mean step length,Mean step length std,Mean step duration,Mean step duration std,Mean step frequency,Mean step frequency std,Mean propulsion vector angle,Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
pre - corridor,74.0,,2.4594594594594597,0.7201574375391474,0.0055035545259239085,0.000881393416453209,0.08216590049939278,0.010285255801832177,0.22216623711378755,0.05748233566797519,5.231054477655976,0.057482335667975185,4.914490823214753,1.9711084156348566,0.6560301507537688,0.380206728639158,0.3025357888845326,0.0967326307386897,0.0007640882005461804,0.05466195381780797
,,,,,,,,,,,,,,,,,,,,
post - corridor,60.0,,2.5833333333333335,0.8019074482479606,0.0056381006159334085,0.0006538336988106115,0.08339690915947287,0.01066000011311573,0.22300245203951388,0.05449905079252612,5.161297821656135,0.05449905079252612,5.1413379321548,2.140906987489201,0.659807658984578,0.38238781686346074,0.29988373430690163,0.0821485235348939,-1.1491250851376051e-06,0.050147357448016884
,,,,,,,,,,,,,,,,,,,,
