Event,TP,FP,FN,Precision,Recall,F1,MATE (ms),median ATE (ms),MATE_std (ms),minmax ATE (ms),MTE (ms),median TE (ms),MTE_std (ms),minmax TE (ms)
Stance,39,3,69,0.6720430062544803,0.37096774075806455,0.4537890377064771,14.924242424242424,15.0,1.9528920146251532,0.0-25.0,14.015151515151514,15.0,1.9528920146251532,-10.0-25.0
Swing,39,3,69,0.6720430062544803,0.37096774075806455,0.4537890377064771,8.863636363636363,10.0,2.7731261643859884,0.0-30.0,7.954545454545454,10.0,2.7731261643859884,-10.0-30.0
Peak,39,3,69,0.6720430062544803,0.37096774075806455,0.4537890377064771,11.079545454545455,11.25,1.8190768859677873,0.0-25.0,11.079545454545455,11.25,1.8190768859677873,0.0-25.0
Touchdown,39,3,69,0.6720430062544803,0.37096774075806455,0.4537890377064771,8.84469696969697,5.0,2.250780860982532,0.0-40.0,-6.837121212121212,-5.0,2.7133265857575806,-40.0-15.0
