Dataset,Mouse,Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
postDLC,1,0,3,,0.004511726575020025,0.0006491662667666871,0.07038448627178487,0.01320252803569852,0.13611748060691806,0.03658626318048682,8.038039215686277,0.03658626318048682,17.48884936498457,9.174061091768934,0.7763819095477387,0.4496925935584168,0.23896438774380238,0.058314211077886265,0.0008418938421433986,0.03457250786074721
postDLC,1,1,4,,0.00545265784630411,0.0005627228363868234,0.06304702758789063,0.009441965426153593,0.12477048705063781,0.016861771172212325,8.154288889329868,0.016861771172212325,7.5358108508149275,3.388374663334415,0.7839195979899497,0.45404450243523686,0.24507367578235997,0.08174409154931427,-0.00134709166105465,0.04286700422275471
postDLC,1,2,5,,0.004826150747445901,0.0010105718945846271,0.04979084190955528,0.008430043938648093,0.1331115034632623,0.008791205936653359,7.545404044704171,0.008791205936653359,7.044085484117076,3.4729802890662826,0.7437185929648242,0.4308343165236531,0.22984219730327468,0.07857579969480478,0.0013502432688071132,0.046817786335189855
postDLC,2,0,2,,0.004664828960712131,0.00015444828913763198,0.08812469482421875,0.001333242563100967,0.1287567645921917,0.012623212214920743,7.841956670331957,0.012623212214920743,6.968101627985053,2.3767873971591458,0.5226130653266332,0.3031779523416755,0.3663803618782913,0.07007996404936867,4.2213334172602144e-05,0.04102826310157137
postDLC,2,1,4,,0.005949560312124388,0.000598066261523615,0.08029828144953802,0.0056547357805843655,0.118639710178801,0.011567562815361247,8.514403141644989,0.011567562815361247,10.114275550906234,5.175134485519113,0.5402010050251257,0.3133324665297522,0.3574307219685539,0.062391751657226116,0.0008148921294542844,0.04596595530033347
postDLC,2,2,2,,0.006612243652343752,0.0006444138746994899,0.08049427032470702,0.004676428574782149,0.11398455693099645,0.002532990154022155,8.777452824174421,0.002532990154022155,10.536610306944228,4.790049458263152,0.3090452261306533,0.17987212391050694,0.39368738447762,0.08089127685463499,-0.004072448448073872,0.06159169191258095
postDLC,2,3,4,,0.005409833467923689,0.0006422572635429837,0.08766554759098934,0.006458294045255676,0.11632839522286759,0.02970759184384528,9.069121863799285,0.029707591843845284,14.694227804409413,4.399230227633961,0.3869346733668341,0.22484278714770947,0.4811378721043134,0.06458680961744283,0.0029299729112951885,0.05424551986805848
postDLC,3,0,4,,0.005472209636981654,0.0008961587099777278,0.057041564354529756,0.008672877843960935,0.13622548224995945,0.015550930932275041,7.430236129704002,0.015550930932275041,13.735919290588203,8.680454763704208,0.6231155778894473,0.3612036625267642,0.23901121578898096,0.07539759292464952,0.0010346469401871208,0.052503061294402534
postDLC,3,1,3,,0.0048856647198016745,0.00027823003754690186,0.0643692388290014,0.003387716498580472,0.12785667467773654,0.0023791663601207577,7.823931623931624,0.0023791663601207577,4.968462080149803,0.8674414675386611,0.577889447236181,0.3350921168367873,0.21242662257790393,0.08875241156457625,0.0026287911409066207,0.04368153026490431
postDLC,3,2,3,,0.004878813914763617,0.0010524049365427683,0.0662145017966246,0.004950072333144964,0.14297180346175323,0.023787372175594342,7.172021339656194,0.023787372175594342,5.660576440575484,2.9807805690389135,0.6030150753768845,0.3495985352949967,0.17131052788552711,0.11579653897849851,-0.003384883092025294,0.0431061720704898
postDLC,3,3,5,,0.0051988548865685045,0.0007715751919863622,0.07093377333420972,0.006807411987644451,0.13913098616108935,0.011316967002147491,7.236308047824076,0.011316967002147488,15.25950149740601,9.478158228026276,0.7964824120603013,0.4612976829563182,0.24783429443941943,0.08388500404368873,9.656468431252565e-06,0.036687836147023895
postDLC,3,4,4,,0.0048359621488131,0.001321485250309054,0.05396406907301683,0.018580030865298594,0.10470045701759825,0.021812531886039772,10.06257830796253,0.021812531886039772,17.952662655909574,11.14438898205211,0.6105527638190955,0.3539504587499667,0.32446788584900377,0.08946722101856802,0.0016412738312588523,0.0560225417161972
postDLC,4,0,5,,0.005927565354567299,0.001085083826906075,0.07069448852539063,0.004808190960266594,0.12105302632565813,0.009570082021135046,8.314520343080227,0.00957008202113505,14.705788459340829,5.94199221748978,0.6733668341708543,0.3902164554435613,0.2844723310335134,0.06860428847594785,0.0009884237031806602,0.04052689983489637
postDLC,4,1,3,,0.005961022010216366,0.00033392815213091566,0.08164772229316906,0.0012515382748568356,0.12966794758104241,0.02076173796895647,7.909551372138882,0.02076173796895647,19.270181662129513,2.880130541301266,0.46984924623115576,0.27271435952450573,0.4087980826019395,0.06422337200665362,-0.0019131517592376704,0.060151491291174884
postDLC,4,2,5,,0.004554962158203113,0.0013516081569901841,0.05454859337439903,0.028309303078934825,0.08581544084056648,0.02093537477882787,12.449953737150967,0.02093537477882787,14.688399800410437,10.704295768633765,0.5527638190954773,0.32058568658766995,0.3401015568963474,0.08157606426993504,0.008932407594692523,0.056525963554804194
postDLC,5,0,3,,0.006930115528595755,0.0006253731580123298,0.07450758713942308,0.0042058183559565325,0.13108877721943046,0.007130289485331732,7.65196259382306,0.007130289485331732,16.386091006958743,2.260123614264093,0.7537688442211057,0.4366368642457982,0.2617460981265519,0.06207510190462622,-0.0009204699682594456,0.034889862094285996
postDLC,5,1,4,,0.007648872962364758,0.0002824163837055773,0.07303309807410607,0.022381881531218065,0.1060325551200981,0.03959656295454793,11.279757467144563,0.03959656295454793,22.752363337837583,3.1136705789740664,0.5251256281407036,0.3046285976847499,0.37775112758072893,0.0890388297792537,-0.0013012362283373663,0.05542364573894406
postDLC,5,2,4,,0.0063383689293494555,0.0014531796049522627,0.06463401794433593,0.015396062168527532,0.1348421796482412,0.02676272042514171,7.742645763922155,0.02676272042514171,32.178684085640135,6.867413502073931,0.8040201005025126,0.46564959072412876,0.22068960859120604,0.0852231870045867,0.0023615274216784326,0.04038644593419913
postDLC,6,0,2,,0.005991527850811307,0.000922170785757237,0.07289703369140624,0.007160198505108156,0.13149078726968175,0.03034402783146503,8.032882165605097,0.03034402783146504,6.450530864493225,0.33574790440369073,0.39195979899497485,0.22774410439446552,0.2783197676892104,0.05778161061244067,0.0036010557526995166,0.03899359680729168
postDLC,6,1,3,,0.006581718249198713,0.00025485996323557124,0.07674208812224557,0.004211712800382985,0.13949036433552042,0.013233111170200674,7.238308784349542,0.013233111170200674,19.047997630973107,9.029124544679544,0.756281407035176,0.43808750104200417,0.25495782357926966,0.05848757463467893,0.002245361864475702,0.038491845002034134
postDLC,6,2,5,,0.006206371600811311,0.00040791398292170647,0.06585074791541465,0.009572490960998856,0.13411992394404454,0.04237766340259987,8.040256657481217,0.042377663402599866,11.533953144995172,5.396609397255609,0.7437185929648242,0.4308343165236531,0.26940422578950135,0.08632762498124116,-0.0004817974700176999,0.05230609049174859
postDLC,6,3,4,,0.0056944186870868385,0.0002863367003462569,0.07822265625,0.0039857617944857714,0.1249937185929648,0.009697928990713504,8.050084014014363,0.009697928990713504,8.113349351846262,4.291399932672224,0.5025125628140704,0.29157278367720624,0.36087304891592875,0.10281932218711964,0.0035854569094599985,0.05617287838215105
