Dataset and Mouse and Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
postDLC - mouse4 - 0,3.0,,0.005444997151692721,0.0004913861117361007,0.06476491096692207,0.0013662389117309061,0.12609690242256058,0.010896017699640709,7.993397579519017,0.010896017699640716,6.290514078822437,1.5053273354252106,0.6733668341708543,0.3902164554435613,0.2844723310335134,0.06860428847594785,0.0009884237031806602,0.04052689983489637
postDLC - mouse4 - 1,1.0,,0.0050620328463040765,0.0,0.07820537860576923,0.0,0.08588396528095021,0.0,11.643617021276594,0.0,5.7842426119441654,0.0,0.46984924623115576,0.27271435952450573,0.4087980826019395,0.06422337200665362,-0.0019131517592376704,0.060151491291174884
postDLC - mouse4 - 2,4.0,,0.004430750333345848,0.00048162193631996574,0.05639530475323018,0.005259895236460529,0.0769814984010964,0.005500894623815036,13.054038810094172,0.005500894623815036,4.529482883229668,0.8975480004454734,0.5527638190954773,0.32058568658766995,0.3401015568963474,0.08157606426993504,0.008932407594692523,0.056525963554804194
postDLC - mouse5 - 0,5.0,,0.0055913649338942386,0.0006120395925797751,0.05860298743614785,0.016233448478295887,0.13613065326633164,0.03140566741857031,7.768715235218299,0.03140566741857031,5.325342020949835,1.0435924141435757,0.7537688442211057,0.4366368642457982,0.2617460981265519,0.06207510190462622,-0.0009204699682594456,0.034889862094285996
postDLC - mouse5 - 1,3.0,,0.007931526379707529,0.0009425667924649495,0.07556125738681892,0.009695341279246435,0.15989036089538602,0.029248402389670667,6.4885582010582,0.029248402389670667,8.150380522018889,0.47633040295587814,0.5251256281407036,0.3046285976847499,0.37775112758072893,0.0890388297792537,-0.0013012362283373663,0.05542364573894406
postDLC - mouse5 - 2,3.0,,0.005546444623898232,0.0005416017541995962,0.059275066669170706,0.015904734960996782,0.15626570351758795,0.02469491857516949,6.565394215439436,0.02469491857516949,7.298373141411221,2.2973226360877397,0.8040201005025126,0.46564959072412876,0.22068960859120604,0.0852231870045867,0.0023615274216784326,0.04038644593419913
postDLC - mouse6 - 0,2.0,,0.00604043813852162,6.1035156250222045e-06,0.06263441819411059,0.000979473407451914,0.1264334492977709,0.010114675943821663,7.960244930613249,0.010114675943821656,5.038555786263251,0.4654544607373571,0.39195979899497485,0.22774410439446552,0.2783197676892104,0.05778161061244067,0.0036010557526995166,0.03899359680729168
postDLC - mouse6 - 1,4.0,,0.00533944350022536,0.00041109736559114706,0.06888571078960713,0.00542570208025852,0.13486869563765672,0.013038248930291643,7.4798285246139615,0.013038248930291646,5.959524130786518,1.0533497380417363,0.756281407035176,0.43808750104200417,0.25495782357926966,0.05848757463467893,0.002245361864475702,0.038491845002034134
postDLC - mouse6 - 2,3.0,,0.005200864351712742,0.00011816071752710793,0.057096718030098144,0.0033998276304754013,0.11260695368735564,0.011884349337475923,8.988638824896139,0.011884349337475926,6.435939536802287,1.1874587565916248,0.7437185929648242,0.4308343165236531,0.26940422578950135,0.08632762498124116,-0.0004817974700176999,0.05230609049174859
postDLC - mouse6 - 3,4.0,,0.00532906165489784,0.00048591758746530415,0.06653278644268329,0.004716122057142742,0.09216708542713568,0.021831751944873773,11.421551390915095,0.021831751944873773,5.720948696682321,1.1946687042376336,0.5025125628140704,0.29157278367720624,0.36087304891592875,0.10281932218711964,0.0035854569094599985,0.05617287838215105
postDLC - mouse7 - 0,2.0,,0.005622564462514995,0.00046917841984675523,0.0844904972956731,0.0003663987379807776,0.10109024655440946,0.005054512327720473,9.916943521594686,0.005054512327720473,4.665308201447114,0.6007157206107255,0.4296482412060302,0.24950393955433856,0.44594574056072606,0.07180784242091037,0.0012217178185496417,0.0646314206612346
postDLC - mouse7 - 1,4.0,,0.004972760127140929,0.0012044137776448952,0.05412648127629206,0.015737696692679826,0.07202926396689328,0.03224219613644096,16.22426400759734,0.03224219613644096,9.349543641149838,2.004312408399577,0.4271356783919598,0.2480532860761577,0.4455491635838376,0.07655092644701894,-0.0019296509637916697,0.06416273425458006
postDLC - mouse7 - 2,2.0,,0.005443549522986785,0.0016929743840144174,0.04256370544433592,0.015265227097731357,0.11357234603510827,0.01766680938323903,9.02330194476576,0.01766680938323903,11.159531158634135,4.486009309224191,0.5603015075376885,0.3249376169944111,0.2324425916575687,0.06817272984437037,-0.005867390462330398,0.03962982593882139
postDLC - mouse8 - 0,4.0,,0.003835214468149037,0.0017592435746537059,0.053054874126727755,0.03030047150171635,0.16628597533120143,0.03753947319914649,6.3777511876590225,0.03753947319914648,18.477098401606185,22.297037910185228,0.9120603015075376,0.5280268967838463,0.20526995584171365,0.07634794758965809,0.00121718349978096,0.02684940351006
postDLC - mouse8 - 1,3.0,,0.004647083771534444,0.00088722183247263,0.06726456079727564,0.0069283219353497025,0.11114081043515452,0.021826508286095118,9.321317992217459,0.021826508286095118,5.232025628413181,0.8743137612421326,0.4723618090452261,0.2741650087549873,0.2784522725717133,0.058174181939428686,0.00046270049357411433,0.04110794144953845
postDLC - mouse8 - 2,1.0,,0.006089923565204325,0.0,0.04435792189378007,0.0,0.08075620392712463,0.0,12.382949561403507,0.0,8.503344362058568,0.0,0.5703517587939698,0.3307401890706891,0.29927025875635527,0.06079156803753817,0.0006613366474077893,0.05386029957748207
postDLC - mouse8 - 3,2.0,,0.0052074373685396524,0.00021528977614185263,0.07388021615835336,0.004099778395432657,0.1110552763819096,0.005047967108268603,9.023167795546309,0.005047967108268596,4.918105756870309,0.14874707994822103,0.5527638190954773,0.32058568658766995,0.28048336831471365,0.06925667147912434,0.00179795690638959,0.05383525925714938
postDLC - mouse9 - 0,5.0,,0.00547277597280651,0.0011758414564824661,0.07189454181377705,0.017539323935589404,0.12007638190954775,0.04225960433716062,10.334512466107055,0.04225960433716062,7.260581512301417,1.6661134002197298,0.6281407035175881,0.364104943371594,0.308600639827844,0.07346527090135388,-0.0011321978540290963,0.039550677502157634
postDLC - mouse9 - 1,4.0,,0.005120339026817938,0.0005908122824472887,0.06246894542987529,0.01825808671930822,0.10099517193812199,0.035707185472273695,11.334092736531762,0.035707185472273695,8.048082706846587,3.9882387688760774,0.5125628140703519,0.2973753693570551,0.366186713671371,0.07634767361457793,-0.0010366824151874555,0.04573556514179529
postDLC - mouse9 - 2,4.0,,0.006750769981971147,0.0004093819972981031,0.054414449838491585,0.018738166299639654,0.11245909781465468,0.04368059455734698,10.38901637232137,0.04368059455734698,10.02550971302819,4.685594662384707,0.4321608040201005,0.2509545927474125,0.3499802931845939,0.0642968868585891,0.0034876117505584746,0.060307405254373135
postDLC - mouse9 - 3,2.0,,0.005087233323317286,0.0003408696101261932,0.04145993746243991,0.006289578951322108,0.08829145728643216,0.0025226130653266537,11.335377444470485,0.0025226130653266537,11.636576559769917,5.567501527166048,0.6281407035175881,0.364104943371594,0.30077587416447493,0.06243844954215443,-0.00363336309225863,0.053626437313988716
postDLC - mouse9 - 4,4.0,,0.0057232988797701195,0.0005338168120574873,0.05962995382455679,0.014758438352569823,0.0921912192541656,0.03470085490386817,12.084599682603606,0.03470085490386817,9.13879278705378,3.362659294488211,0.4773869346733668,0.27706630657467785,0.40144981086102083,0.07038463140855968,-0.0010098010188766167,0.05929700593809303
postDLC - mouse10 - 0,5.0,,0.004181142953725969,0.0009645065879234372,0.057509448711688685,0.012470241433288237,0.12089223093886703,0.043565023167462136,10.016434319269244,0.043565023167462136,8.369049318529743,2.2315179516468056,1.0477386934673365,0.6063611103263958,0.17965192173291036,0.06192057359511291,0.00044559999179757866,0.033295545388264396
postDLC - mouse10 - 1,4.0,,0.005301921551044156,0.0009174366031927078,0.06022417802077074,0.008613499689265525,0.12730456920363403,0.03176211987097165,8.266479111679285,0.03176211987097165,5.717985031807244,0.8334723489277074,0.7587939698492464,0.43953813778554224,0.25771604484699495,0.05487902785590697,-0.0012993862064616655,0.03776332008339559
postDLC - mouse10 - 2,6.0,,0.0037094918275490663,0.0019306102986166472,0.021674037835536866,0.02362863011284248,0.08232577026546872,0.038897538346516075,15.860396677843823,0.038897538346516075,30.761550376412778,26.201703439028364,0.8291457286432162,0.48015594715944737,0.15824253740369032,0.07345485254056613,-0.00014366505101515663,0.0341454579262113
postDLC - mouse10 - 3,2.0,,0.004571134127103388,0.0009367018479567168,0.06621361952561598,0.01273387615497297,0.10345157993356614,0.022708883400051075,10.155717299578058,0.022708883400051075,5.399006221666753,1.0471723221844018,0.5929648241206029,0.34379596923109884,0.30454170145952864,0.07789125544522979,0.0016991385187819725,0.037815741634841395
,,,,,,,,,,,,,,,,,,
