Dataset and Mouse and Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
postDLC - mouse1 - 0,3.0,,0.004511726575020025,0.0006491662667666871,0.07038448627178487,0.01320252803569852,0.13611748060691806,0.03658626318048682,8.038039215686277,0.03658626318048682,17.48884936498457,9.174061091768934,0.7763819095477387,0.4496925935584168,0.23896438774380238,0.058314211077886265,0.0008418938421433986,0.03457250786074721
postDLC - mouse1 - 1,4.0,,0.00545265784630411,0.0005627228363868234,0.06304702758789063,0.009441965426153593,0.12477048705063781,0.016861771172212325,8.154288889329868,0.016861771172212325,7.5358108508149275,3.388374663334415,0.7839195979899497,0.45404450243523686,0.24507367578235997,0.08174409154931427,-0.00134709166105465,0.04286700422275471
postDLC - mouse1 - 2,5.0,,0.004826150747445901,0.0010105718945846271,0.04979084190955528,0.008430043938648093,0.1331115034632623,0.008791205936653359,7.545404044704171,0.008791205936653359,7.044085484117076,3.4729802890662826,0.7437185929648242,0.4308343165236531,0.22984219730327468,0.07857579969480478,0.0013502432688071132,0.046817786335189855
postDLC - mouse2 - 0,2.0,,0.004664828960712131,0.00015444828913763198,0.08692657470703125,0.0014599609375000044,0.13885533436412828,0.012623212214920743,7.261754385964915,0.012623212214920743,6.968101627985053,2.3767873971591458,0.5226130653266332,0.3031779523416755,0.3663803618782913,0.07007996404936867,4.2213334172602144e-05,0.04102826310157137
postDLC - mouse2 - 1,4.0,,0.005949560312124388,0.000598066261523615,0.08029828144953802,0.0056547357805843655,0.118639710178801,0.011567562815361247,8.514403141644989,0.011567562815361247,10.114275550906234,5.175134485519113,0.5402010050251257,0.3133324665297522,0.3574307219685539,0.062391751657226116,0.0008148921294542844,0.04596595530033347
postDLC - mouse2 - 2,2.0,,0.006612243652343752,0.0006444138746994899,0.07901470771202673,0.0031968659621018636,0.12158352739306287,0.010131960616088578,8.282314459733815,0.010131960616088571,10.536610306944228,4.790049458263152,0.3090452261306533,0.17987212391050694,0.39368738447762,0.08089127685463499,-0.004072448448073872,0.06159169191258095
postDLC - mouse2 - 3,4.0,,0.005405537531926102,0.0006447108456913964,0.08741890100332407,0.006386138384690932,0.11885727337988644,0.028722534542812872,8.844444444444447,0.028722534542812872,14.694227804409413,4.399230227633961,0.3869346733668341,0.22484278714770947,0.4811378721043134,0.06458680961744283,0.0029299729112951885,0.05424551986805848
postDLC - mouse3 - 0,4.0,,0.005472209636981654,0.0008961587099777278,0.057041564354529756,0.008672877843960935,0.13622548224995945,0.015550930932275041,7.430236129704002,0.015550930932275041,13.735919290588203,8.680454763704208,0.6231155778894473,0.3612036625267642,0.23901121578898096,0.07539759292464952,0.0010346469401871208,0.052503061294402534
postDLC - mouse3 - 1,3.0,,0.0048856647198016745,0.00027823003754690186,0.0643692388290014,0.003387716498580472,0.12785667467773654,0.0023791663601207577,7.823931623931624,0.0023791663601207577,4.968462080149803,0.8674414675386611,0.577889447236181,0.3350921168367873,0.21242662257790393,0.08875241156457625,0.0026287911409066207,0.04368153026490431
postDLC - mouse3 - 2,3.0,,0.004878813914763617,0.0010524049365427683,0.0662145017966246,0.004950072333144964,0.14297180346175323,0.023787372175594342,7.172021339656194,0.023787372175594342,5.660576440575484,2.9807805690389135,0.6030150753768845,0.3495985352949967,0.17131052788552711,0.11579653897849851,-0.003384883092025294,0.0431061720704898
postDLC - mouse3 - 3,5.0,,0.005198897141676673,0.0007716300097943928,0.07044948284442608,0.006752131263540481,0.14417196392054912,0.015812929350068634,7.02161734020884,0.01581292935006863,15.25950149740601,9.478158228026276,0.7964824120603013,0.4612976829563182,0.24783429443941943,0.08388500404368873,9.656468431252565e-06,0.036687836147023895
