Event,TP,FP,FN,Precision,Recall,F1,MATE,median ATE,MATE_std,minmax ATE,MTE,median TE,MTE_std,minmax TE
Peak,70,3,38,0.9301075223835126,0.653763438846595,0.7491807403691698,8.041666666666668,5.0,2.7171695058346073,0.0-50.0,2.930555555555556,5.0,4.169103458337284,-50.0-20.0
Touchdown,72,1,36,0.9569892426971328,0.6752688151189965,0.7728366542602093,14.249999999999998,12.5,4.639242433835732,0.0-35.0,-13.472222222222221,-12.5,5.363424443858515,-35.0-10.0
Swing,73,0,35,0.9677419308333335,0.6833333312278674,0.7820532440956273,9.416666666666666,6.25,4.669969552426616,0.0-40.0,4.222222222222223,2.5,7.128277650543301,-40.0-40.0
Stance,71,2,37,0.9354838664784947,0.661827954955466,0.75624679258595,11.347222222222221,10.0,3.39505656017208,0.0-35.0,8.902777777777779,10.0,4.81614473021555,-15.0-35.0
