Event,TP,FP,FN,Precision,Recall,F1,MATE,median ATE,MATE_std,minmax ATE,MTE,median TE,MTE_std,minmax TE
Peak,81,3,27,0.9623655871738352,0.7483870944978495,0.822990263796647,7.112903225806452,5.0,5.039806524523005,0.0-50.0,2.274193548387097,5.0,5.646757328691568,-50.0-35.0
Touchdown,84,0,24,0.999999995623656,0.7779569868791218,0.8558627675231044,16.10752688172043,15.0,5.051678448714217,0.0-45.0,-15.236559139784946,-15.0,5.471393894473839,-45.0-25.0
Swing,84,0,24,0.999999995623656,0.7779569868791218,0.8558627675231044,7.572580645161291,5.0,3.6101007714621116,0.0-35.0,4.620967741935484,5.0,5.230240401084922,-35.0-30.0
Stance,84,0,24,0.999999995623656,0.7779569868791218,0.8558627675231044,9.365591397849464,7.5,3.9624133483461046,0.0-40.0,8.908602150537636,7.5,4.38879030077365,-10.0-40.0
