Event,TP,FP,FN,Precision,Recall,F1,MATE (ms),median ATE (ms),MATE_std (ms),minmax ATE (ms),MTE (ms),median TE (ms),MTE_std (ms),minmax TE (ms)
Swing,43,1,65,0.8602150474014336,0.40376343961675637,0.5255760311981886,9.567901234567902,7.5,1.8711847560456452,0.0-35.0,2.4691358024691357,2.5,3.040425337206162,-35.0-30.0
Peak,41,3,67,0.8118279510304659,0.38924731061756274,0.5034562157111578,15.28846153846154,10.0,2.3350927332268574,0.0-50.0,12.403846153846153,7.5,2.5274004255345495,-15.0-50.0
Stance,37,7,71,0.7473118223207885,0.343548386058871,0.44754223752334416,10.48076923076923,10.0,1.2698184502021828,0.0-40.0,9.326923076923077,10.0,1.2698184502021828,-15.0-40.0
Touchdown,43,1,65,0.8602150474014336,0.40376343961675637,0.5255760311981886,13.641975308641976,12.5,2.448881964689196,0.0-45.0,-12.71604938271605,-10.0,3.3984048735499783,-45.0-15.0
