Event,TP,FP,FN,Precision,Recall,F1,MATE (ms),median ATE (ms),MATE_std (ms),minmax ATE (ms),MTE (ms),median TE (ms),MTE_std (ms),minmax TE (ms)
Stance,46,17,62,0.7177419316465052,0.42634408472482066,0.5242191442531469,25.48076923076923,25.0,6.16749508072724,0.0-50.0,25.28846153846154,25.0,6.359802773034932,-5.0-50.0
Touchdown,50,13,58,0.7634408562051971,0.473118278078853,0.5707117192709086,31.726190476190478,30.0,4.47151056968739,10.0-50.0,31.726190476190478,30.0,4.47151056968739,10.0-50.0
Peak,61,2,47,0.913978489937276,0.5666666649213261,0.6852022461385587,4.985632183908046,5.0,2.0958725361434167,0.0-15.0,4.295977011494253,5.0,2.6131139154537615,-5.0-15.0
Swing,57,6,51,0.8655913933512547,0.5317204284585125,0.6452636901953211,17.643678160919542,15.0,5.682144361496395,0.0-45.0,-12.586206896551724,-15.0,8.559187933758052,-45.0-25.0
