Event,TP,FP,FN,Precision,Recall,F1,MATE,median ATE,MATE_std,minmax ATE,MTE,median TE,MTE_std,minmax TE
Peak,51,3,57,0.8602150482616486,0.4768817189552867,0.5879416221275301,13.303571428571429,10.0,4.385406043121834,0.0-50.0,3.898809523809524,5.0,5.827903202995339,-50.0-45.0
Touchdown,53,1,55,0.8924731126164874,0.4983870952276881,0.6137480736372074,13.660714285714283,15.0,3.7338060130968205,0.0-40.0,-13.541666666666666,-15.0,3.857053177431354,-40.0-5.0
Swing,52,2,56,0.8817204244802866,0.4876344070914874,0.6029953855010067,9.196428571428571,10.0,3.1663423576460485,0.0-20.0,1.5773809523809526,0.0,4.854245911673742,-20.0-20.0
Stance,48,6,60,0.8279569838530466,0.4499999986147849,0.558602144499478,14.494047619047619,15.0,3.5581324138164443,0.0-50.0,13.184523809523808,15.0,4.218154699531302,-20.0-50.0
