feature,importance,change_score,change_effect_size,combined_rank,direction
Mean angle during swing - rhindlimb - knee (°)_sin,0.005627345499296873,-0.000252501312283826,-0.4249997643828284,0.0023916205113019406,away_from_healthy
Mean angle velocity during swing - rhindlimb - lHindfingers (rad/s)_sin,0.009001652254653823,0.13758880438063437,0.2554975845374718,0.002299900407910339,towards_healthy
Mean phase acceleration during swing - rhindlimb - hip (rad/s^2)_cos,0.008741372513315793,-0.12082342302041293,-0.2542256921773573,0.002222281477777833,away_from_healthy
Mean angle velocity during swing - rhindlimb - knee (rad/s)_cos,0.005346505847683905,0.18859223441680328,0.41268545267336526,0.002206425185972227,towards_healthy
Mean step velocity X during stance - knee (m/s),0.0032528979953834187,-0.024852242229285587,-0.6674444961390482,0.002171128863520406,away_from_healthy
Mean angle velocity - rhindlimb - hip (rad/s)_sin,0.004613914795541522,0.05379205753134769,0.46958252933094263,0.0021666137798078467,towards_healthy
Mean phase acceleration during swing - rhindlimb - ankle (rad/s^2)_sin,0.0028029938635577675,-0.49991705283369364,-0.7131201590918905,0.001998871429913908,away_from_healthy
Mean angle acceleration during swing - rhindlimb - hip (rad/s^2)_cos,0.007848949227641084,-0.1208234230177121,-0.25422569217229124,0.001995404550222225,away_from_healthy
Mean step acceleration Y during swing - hip (m/s^2),0.0023279904436218036,-0.17723545446822947,-0.849357590616909,0.0019772963541738043,away_from_healthy
Mean phase velocity - rhindlimb - hip (rad/s)_cos,0.004426969526187243,0.00582437121575885,0.4152466692522291,0.0018382843506303715,towards_healthy
Mean angle acceleration during swing - rhindlimb - knee (rad/s^2)_cos,0.003522179859024774,-0.26187399230888586,-0.5192834260704648,0.0018290096244307716,away_from_healthy
Mean angle velocity - rhindlimb - hip (rad/s)_cos,0.004371656773316065,0.00582437121575885,0.41524666925219916,0.0018153159142333122,towards_healthy
Mean phase velocity - rhindlimb - hip (rad/s)_sin,0.003731949672956311,0.05379205753134347,0.4695825293309171,0.0017524583667625133,towards_healthy
