feature,importance,change_score,change_effect_size,combined_rank,direction
Mean angle at touchdown - rhindlimb - lHindfingers (°)_cos,0.031573806958022865,0.002030352062857621,0.9565251787968139,0.030201141345818906,towards_healthy
Mean angle at touchdown - rhindlimb - lHindfingers (°)_sin,0.028647555779327875,0.017987986144523807,0.8929809897578532,0.025581722713967515,towards_healthy
Mean angle excursion - rhindlimb - ankle (°),0.02818655364772933,-6.150922408852878,-0.6893807139500431,0.01943126647746284,away_from_healthy
Mean step jerk Y at peak - lHindfingers (m/s^3),0.05318274010990527,-154.45195388904676,-0.3467678491329109,0.01844206439890644,away_from_healthy
Mean step acceleration Y at touchdown - lHindfingers (m/s^2),0.02326024988685661,1.6903041668988,0.7786109031835072,0.018110684172679498,towards_healthy
Mean step acceleration Y at touchdown - lHindpaw (m/s^2),0.009259879099629598,2.6710004544178485,0.9826589274727477,0.009099302864569335,towards_healthy
Mean phase excursion - rhindlimb - ankle (°),0.012817368915990937,-5.242389329694078,-0.7053637072203242,0.009040906855393915,away_from_healthy
Mean step velocity Y at peak - lHindfingers (m/s),0.053251168888187206,-0.00423728595351458,-0.1622499535289795,0.008639999677472213,away_from_healthy
Mean step acceleration Y at touchdown - ankle (m/s^2),0.007817148929314873,1.4763544718642292,1.0362337034179823,0.008100393185193866,towards_healthy
Mean step acceleration X during stance - ankle (m/s^2),0.013169906559503465,0.23525321302790692,0.485947455532434,0.006399882582190621,towards_healthy
Mean angle at stance - rhindlimb - lHindfingers (°)_sin,0.013660563792013308,0.010913233270233469,0.458187431891313,0.006259098642050034,towards_healthy
Mean angle at stance - rhindlimb - lHindfingers (°)_cos,0.012529038814588783,0.0011405717239100222,0.4786227318028738,0.005996682784302723,towards_healthy
Mean step jerk Y at peak - ankle (m/s^3),0.010535221157573622,-233.71452142155863,-0.5008994878121045,0.005277086881815873,away_from_healthy
Mean step jerk X at swing - ankle (m/s^3),0.010902809076626826,138.82470336745092,0.464757218034435,0.005067159215213671,towards_healthy
Mean step acceleration Y at stance - lHindpaw (m/s^2),0.005362712402554469,2.4379369261629567,0.8744340841772444,0.004689338508433668,towards_healthy
Mean step velocity Y at peak - lHindpaw (m/s),0.04436542873209755,-0.002558458396157433,-0.09964871515722225,0.004420957970552832,away_from_healthy
Mean step jerk Y at peak - lHindpaw (m/s^3),0.02919887056383249,-57.51419774600345,-0.1459805248450997,0.004262466449792399,away_from_healthy
Mean step velocity Y at peak - ankle (m/s),0.014996989027315817,-0.009188322129172269,-0.28319485723341337,0.00424707016652177,away_from_healthy
Mean step acceleration X during stance - lHindpaw (m/s^2),0.009236272102008941,0.25686820097284757,0.42028673369026487,0.003881882633227855,towards_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_sin,0.007798143774714674,0.0005934803037240255,0.4697575527909521,0.003663236935921963,towards_healthy
Mean angle value - rhindlimb - lHindpaw (°)_cos,0.007207551212775496,0.013224615183374588,0.4988053116273995,0.0035951648287589227,towards_healthy
Mean phase value - rhindlimb - lHindpaw (°)_sin,0.0036289426059488658,-0.05958490169407532,-0.9784130659896504,0.0035506048613869017,away_from_healthy
Mean angle at swing - rhindlimb - ankle (°)_cos,0.005096422402241682,-0.0706745386842483,-0.672110447721429,0.003425358742548178,away_from_healthy
Mean phase value - rhindlimb - lHindpaw (°)_cos,0.004317327571325623,-0.023511088415443582,-0.7767866410433185,0.003353642382413739,away_from_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_cos,0.00717471704712769,2.5231793356339516e-05,0.4582114326981599,0.0032875373773682904,towards_healthy
Mean angle during swing - rhindlimb - lHindfingers (°)_sin,0.0033656399825238337,-0.0013807006845330608,-0.892761986128711,0.0030047154353921783,away_from_healthy
Mean step velocity X during stance - lHindpaw (m/s),0.005064811200047829,-0.008402958575334123,-0.5815101241116762,0.002945238989542021,away_from_healthy
Mean angle during swing - rhindlimb - lHindfingers (°)_cos,0.0031012748631809865,-6.390657547505896e-05,-0.9275102021753399,0.0028764640753502963,away_from_healthy
Mean angle value - rhindlimb - lHindpaw (°)_sin,0.0063801880685039345,0.020238904827136972,0.44882614431367607,0.002863595210782741,towards_healthy
Mean step velocity Y during stance - lHindpaw (m/s),0.0031267548881623104,0.004441122116341359,0.8706305538575999,0.0027222483400577103,towards_healthy
Mean phase at swing - rhindlimb - ankle (°)_cos,0.0034101023450524804,-0.08284834025195731,-0.7905673508924872,0.002695915577200398,away_from_healthy
Mean phase at touchdown - rhindlimb - lHindpaw (°)_cos,0.0031300009827498125,0.001399445397474719,0.8590574248055648,0.002688850583879941,towards_healthy
Mean step velocity Y at swing - hip (m/s),0.0033924468005601337,-0.011135290806618525,-0.7624980791238739,0.0025867341689570335,away_from_healthy
Mean angle during stance - rhindlimb - lHindfingers (°)_sin,0.0031266402520730794,-0.0007246081969500828,-0.7260289564095459,0.0022700313592806973,away_from_healthy
Mean phase at swing - rhindlimb - ankle (°)_sin,0.00408891565295152,-0.011779708100293829,-0.5524961648647236,0.0022591102167110523,away_from_healthy
Mean step velocity Y during stance - ankle (m/s),0.0033907612296550757,0.007160257139191745,0.6506200065227292,0.0022060970933552027,towards_healthy
Mean step acceleration Y at stance - lHindfingers (m/s^2),0.003113819385813495,1.6141851948815535,0.699746895847823,0.0021788854494537682,towards_healthy
Mean angle at peak - rhindlimb - knee (°)_cos,0.00938008979656701,-0.011811749818725965,-0.22654229885954733,0.002124987106023274,away_from_healthy
