Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration during stance - spine - base (rad/s^2),-0.5148402802053841,1.3874064716331909,0.26988378647170247,1.2757252936559842,10,10,0.17822938345438358,n.s.,Circular,Mean angle acceleration during stance - spine - base (rad/s^2),-0.6580878536811887,-0.49548647867184137,away_from_healthy
Mean angle acceleration during stance - spine - base std,1.3045395270652853,0.7984904737979407,1.3911288467434262,0.6524480134135643,10,10,0.15302979351262158,n.s.,Levene,Mean angle acceleration during stance - spine - base std,-0.017345466976663282,-0.03391081168025414,away_from_healthy
Mean angle acceleration during stance - spine - head (rad/s^2),0.4888835059503097,0.9094816991586465,0.3327146914661403,0.9708826258276796,10,10,0.7487661874295896,n.s.,Circular,Mean angle acceleration during stance - spine - head (rad/s^2),-0.5466590786398048,-0.48425942117860415,away_from_healthy
Mean angle acceleration during stance - spine - head std,1.4157503502800375,0.6815556568724207,1.590983344031331,0.7052143820655731,10,10,0.7045336240964062,n.s.,Levene,Mean angle acceleration during stance - spine - head std,0.5910285402141872,0.9334430068312076,towards_healthy
Mean angle acceleration during stance - spine - spine 1 (rad/s^2),0.655888444113411,1.135233139766791,0.21811617684599657,0.9925101036066388,10,10,0.26880622557415584,n.s.,Circular,Mean angle acceleration during stance - spine - spine 1 (rad/s^2),0.12166837826382881,0.1429472476978564,towards_healthy
Mean angle acceleration during stance - spine - spine 1 std,1.143720440287958,0.6191681335946325,1.4037676144896636,0.5368520439709394,10,10,0.708956007110178,n.s.,Levene,Mean angle acceleration during stance - spine - spine 1 std,0.12340460905920381,0.32382733293708366,towards_healthy
Mean angle acceleration during stance - spine - spine 2 (rad/s^2),-0.7876934154444878,1.345303930351049,-0.21095338597939134,1.4219373121382648,10,10,0.4178804724035755,n.s.,Circular,Mean angle acceleration during stance - spine - spine 2 (rad/s^2),0.2308113412613727,0.2961585060367954,towards_healthy
Mean angle acceleration during stance - spine - spine 2 std,1.314908035607493,0.573531354531751,1.0758473835407707,0.4129774071364576,10,10,0.1648997674289164,n.s.,Levene,Mean angle acceleration during stance - spine - spine 2 std,-0.3092368349737178,-0.5911004069513661,away_from_healthy
Mean angle acceleration during stance - spine - spine 3 (rad/s^2),0.2932900097373524,1.0703916901160078,-0.48179174446582645,1.501586533391915,10,10,0.06500609815658014,n.s.,Circular,Mean angle acceleration during stance - spine - spine 3 (rad/s^2),0.6346889978090198,0.5967214644970326,towards_healthy
Mean angle acceleration during stance - spine - spine 3 std,1.423786206128595,0.6379359770565383,1.0602253515285713,0.5895987187434364,10,10,0.7326243592577737,n.s.,Levene,Mean angle acceleration during stance - spine - spine 3 std,0.15091517240329222,0.2528064867969757,towards_healthy
Mean angle acceleration during stance - spine - spine 4 (rad/s^2),0.42845445313680103,0.9737332523679324,-0.16600852741809652,0.6700938977360803,10,10,0.23625852097158268,n.s.,Circular,Mean angle acceleration during stance - spine - spine 4 (rad/s^2),0.017908361600798894,0.017742441487233748,towards_healthy
Mean angle acceleration during stance - spine - spine 4 std,0.9371827043910834,0.5264848619705033,1.450985040339813,0.46403694968791553,10,10,0.5506607240843616,n.s.,Levene,Mean angle acceleration during stance - spine - spine 4 std,0.10396391233046254,0.18316136256077867,towards_healthy
Mean angle acceleration during stance - tail - base (rad/s^2),0.5335940243048032,1.4761718524061893,-0.1926546347357595,0.39167150295323305,10,10,0.0006775696665971626,***,Circular,Mean angle acceleration during stance - tail - base (rad/s^2),-0.046545309408756314,-0.05363274518483512,away_from_healthy
Mean angle acceleration during stance - tail - base std,1.2870547061520559,0.4893357416288618,1.4921342073010093,0.4908200120698919,10,10,0.8149459488867424,n.s.,Levene,Mean angle acceleration during stance - tail - base std,0.031816102047919737,0.04849485204234059,towards_healthy
Mean angle acceleration during stance - tail - tail 1 (rad/s^2),-0.382221821515938,1.0421326425191884,-0.046801979404915886,0.8082539681157029,10,10,0.419221377891173,n.s.,Circular,Mean angle acceleration during stance - tail - tail 1 (rad/s^2),0.57741226502425,0.44034627307965013,towards_healthy
Mean angle acceleration during stance - tail - tail 1 std,1.7070087250119415,0.5633564538843208,1.5296549368038268,0.35076350517777205,10,10,0.21478475122652566,n.s.,Levene,Mean angle acceleration during stance - tail - tail 1 std,-0.2511088352258395,-0.38890374732119626,away_from_healthy
Mean angle acceleration during stance - tail - tail 2 (rad/s^2),-0.6094285816411384,1.33691686825454,0.20288454793799202,1.3045110889989746,10,10,0.13238759380517265,n.s.,Circular,Mean angle acceleration during stance - tail - tail 2 (rad/s^2),-0.11535476502599228,-0.10638078401680497,away_from_healthy
Mean angle acceleration during stance - tail - tail 2 std,1.187802157773095,0.6438392894193129,1.356178765685536,0.6739522459538863,10,10,0.8692804974109245,n.s.,Levene,Mean angle acceleration during stance - tail - tail 2 std,0.2647684166990685,0.49350613012660915,towards_healthy
Mean angle acceleration during stance - tail - tail 3 (rad/s^2),-0.3100367547752099,1.2024438889831064,-0.3816815220114337,0.86291010758482,10,10,0.3622293639140487,n.s.,Circular,Mean angle acceleration during stance - tail - tail 3 (rad/s^2),-0.27888386916622504,-0.2709010284755249,away_from_healthy
Mean angle acceleration during stance - tail - tail 3 std,1.4673479571961823,0.796767977612073,1.3267877002871369,0.5595921259030642,10,10,0.2306821414264809,n.s.,Levene,Mean angle acceleration during stance - tail - tail 3 std,-0.062494065433064794,-0.13062148689137443,away_from_healthy
Mean angle acceleration during stance - tail - tail 4 (rad/s^2),0.27700369538688835,1.0038033216496478,-0.756012531188275,0.5921393464119448,10,10,0.00816703885148178,**,Circular,Mean angle acceleration during stance - tail - tail 4 (rad/s^2),-0.957765392613962,-0.7885959676060156,away_from_healthy
Mean angle acceleration during stance - tail - tail 4 std,1.2371199656509861,0.4473603271902327,1.385709103885946,0.5519223511584066,10,10,0.813437086558195,n.s.,Levene,Mean angle acceleration during stance - tail - tail 4 std,0.06966885226446973,0.10420246344432324,towards_healthy
Mean angle acceleration during swing - rforelimb - elbow (rad/s^2),0.17892261742751306,1.1196442979915595,0.15933090467506145,1.0651388081847768,10,10,0.8563206674400117,n.s.,Circular,Mean angle acceleration during swing - rforelimb - elbow (rad/s^2),0.10845371493359449,0.11336557294048202,towards_healthy
Mean angle acceleration during swing - rforelimb - elbow std,1.461962136930473,0.4087751383627589,1.0930153918427903,0.5696068142758861,10,10,0.23704746355208306,n.s.,Levene,Mean angle acceleration during swing - rforelimb - elbow std,0.038407919626294085,0.07224268085301416,towards_healthy
Mean angle acceleration during swing - rforelimb - lForepaw (rad/s^2),-0.19411783263543314,1.4775781979121232,0.2535998644251945,1.1063557895649432,10,10,0.34338501584777936,n.s.,Circular,Mean angle acceleration during swing - rforelimb - lForepaw (rad/s^2),-0.0858461455001503,-0.0739992635362558,away_from_healthy
Mean angle acceleration during swing - rforelimb - lForepaw std,1.2779064350092093,0.7628326701920636,1.6397218708846029,0.6317677162223824,10,10,0.6036265174083151,n.s.,Levene,Mean angle acceleration during swing - rforelimb - lForepaw std,0.1059223961519502,0.19111342086780894,towards_healthy
Mean angle acceleration during swing - rforelimb - shoulder (rad/s^2),0.10494816459007886,1.2109454565154296,0.4018126370803242,0.7088768195009133,10,10,0.20770461403987273,n.s.,Circular,Mean angle acceleration during swing - rforelimb - shoulder (rad/s^2),-0.37205826088740984,-0.4134006861522963,away_from_healthy
Mean angle acceleration during swing - rforelimb - shoulder std,1.1220400108704824,0.4400893356478435,1.477738034092177,0.5529439093206554,10,10,0.7639769447891577,n.s.,Levene,Mean angle acceleration during swing - rforelimb - shoulder std,0.03593569110441286,0.057710703805477125,towards_healthy
Mean angle acceleration during swing - rforelimb - wrist (rad/s^2),0.02740982725834038,0.9338498738959822,0.05649493406303685,0.788954203555946,10,10,0.6338805973178894,n.s.,Circular,Mean angle acceleration during swing - rforelimb - wrist (rad/s^2),0.27169926713714,0.24956819315953216,towards_healthy
Mean angle acceleration during swing - rforelimb - wrist std,1.2754210105104602,0.44346285914840866,1.7389193178441325,0.45659508526868714,10,10,0.931345423363323,n.s.,Levene,Mean angle acceleration during swing - rforelimb - wrist std,-0.04941358611574542,-0.08325806709487471,away_from_healthy
Mean angle acceleration during swing - rhindlimb - ankle (rad/s^2),0.1920231950971946,1.1261620617150732,-0.3902853909128642,1.2135292994553413,10,10,0.22121971759542497,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - ankle (rad/s^2),-0.08286141707522354,-0.09174814708008172,away_from_healthy
Mean angle acceleration during swing - rhindlimb - ankle std,1.5177275473974108,0.6457062150886542,1.1849404172994218,0.47017921622825004,10,10,0.718075664487731,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - ankle std,-0.044573069044766545,-0.07197071532015824,away_from_healthy
Mean angle acceleration during swing - rhindlimb - hip (rad/s^2),-0.319209824976592,1.1080617082868771,0.4407157496896916,1.341847259565366,10,10,0.23483816059009596,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - hip (rad/s^2),0.7283415553447247,0.709282511898619,towards_healthy
Mean angle acceleration during swing - rhindlimb - hip std,1.0630188218225496,0.49925641975631174,1.286679017972913,0.7611323703961757,10,10,0.1555249803780597,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - hip std,-0.05699960473981047,-0.09839191369983605,away_from_healthy
Mean angle acceleration during swing - rhindlimb - knee (rad/s^2),0.0776007500141773,1.2319565908826033,-0.2894815470487683,0.4712199713048399,10,10,0.019182398386153522,*,Circular,Mean angle acceleration during swing - rhindlimb - knee (rad/s^2),-0.21805023734814832,-0.19043950530249007,away_from_healthy
Mean angle acceleration during swing - rhindlimb - knee std,1.2169887416907987,0.5979406285666512,1.6852892849150738,0.5107622991923282,10,10,0.462837706383854,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - knee std,-0.18392196009662531,-0.34037313678448433,away_from_healthy
Mean angle acceleration during swing - rhindlimb - lHindfingers (rad/s^2),-0.2867405699257553,0.9139761067486252,-0.13604923995806434,0.9151742905687993,10,10,0.8485705159471135,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - lHindfingers (rad/s^2),0.2581935167906499,0.2245816467022146,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindfingers std,1.6360075105834426,0.6619344273932122,1.403289794112917,0.6963234214577098,10,10,0.6425216506628662,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - lHindfingers std,0.2912906945316238,0.6017199725358753,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindpaw (rad/s^2),-0.8095696088256104,0.5907463144278252,0.1656108993406721,0.7838739813665815,10,10,0.010983018335130424,*,Circular,Mean angle acceleration during swing - rhindlimb - lHindpaw (rad/s^2),0.34047858537249265,0.297164057762018,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindpaw std,1.0867938506638697,0.7563967503286595,1.5640982978444564,0.6047289637147559,10,10,0.27194205857952597,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - lHindpaw std,-0.022788219836760826,-0.04130435376249781,away_from_healthy
Mean angle acceleration during swing - spine - base (rad/s^2),0.25673275783306343,0.9962817530340368,0.2624334553337991,0.8988541310095334,10,10,0.6504899542939414,n.s.,Circular,Mean angle acceleration during swing - spine - base (rad/s^2),-0.0835530912917058,-0.09222461146192343,away_from_healthy
Mean angle acceleration during swing - spine - base std,1.13369805897965,0.7899477394289495,1.2992943173967508,0.7305684082458841,10,10,0.9517516832749564,n.s.,Levene,Mean angle acceleration during swing - spine - base std,0.16264804665997823,0.31725965122592303,towards_healthy
Mean angle acceleration during swing - spine - head (rad/s^2),-0.028209518465247874,1.2167984842084631,-0.4481687506023224,1.3913963160464846,10,10,0.18432741371760833,n.s.,Circular,Mean angle acceleration during swing - spine - head (rad/s^2),0.03178130681266517,0.02847951946056445,towards_healthy
Mean angle acceleration during swing - spine - head std,1.2105439035904535,0.6879294811669513,1.1357165010992438,0.33520163989719715,10,10,0.08390918596457851,n.s.,Levene,Mean angle acceleration during swing - spine - head std,0.05813411453453243,0.08382379880680017,towards_healthy
Mean angle acceleration during swing - spine - spine 1 (rad/s^2),-0.24060565340957915,0.9904465794765656,0.12806151755422554,1.2436384238942209,10,10,0.5185823760689288,n.s.,Circular,Mean angle acceleration during swing - spine - spine 1 (rad/s^2),-0.4220633547825403,-0.42392748655578966,away_from_healthy
Mean angle acceleration during swing - spine - spine 1 std,1.5264598027942775,0.4795498572132813,1.3323943571172596,0.45057688642928145,10,10,0.836429482617371,n.s.,Levene,Mean angle acceleration during swing - spine - spine 1 std,0.06322845481479411,0.09304874673070734,towards_healthy
Mean angle acceleration during swing - spine - spine 2 (rad/s^2),0.09369978647738733,1.1287927484137092,-0.11528169034995747,1.1168178356461593,10,10,0.5642343322174053,n.s.,Circular,Mean angle acceleration during swing - spine - spine 2 (rad/s^2),0.1824463095710405,0.17302937535917287,towards_healthy
Mean angle acceleration during swing - spine - spine 2 std,1.5170133202926794,0.5670200040706285,1.4027078670648356,0.48580090270821097,10,10,0.4666696599506843,n.s.,Levene,Mean angle acceleration during swing - spine - spine 2 std,0.22251203090631688,0.2994911605244518,towards_healthy
Mean angle acceleration during swing - spine - spine 3 (rad/s^2),-0.018835504849653174,0.8969753115449631,-0.4283034055783704,1.1772273305600334,10,10,0.421647716458622,n.s.,Circular,Mean angle acceleration during swing - spine - spine 3 (rad/s^2),-0.5426643558891402,-0.5374456675068896,away_from_healthy
Mean angle acceleration during swing - spine - spine 3 std,1.6414035180085311,0.6489951372987327,1.1780770038851602,0.5242536014830003,10,10,0.6462874832639294,n.s.,Levene,Mean angle acceleration during swing - spine - spine 3 std,-0.13385338484485354,-0.24118557635434507,away_from_healthy
Mean angle acceleration during swing - spine - spine 4 (rad/s^2),-0.07729189840169537,0.7035498438383676,0.05247413693919578,1.1110338106714195,10,10,0.04823773189713841,*,Circular,Mean angle acceleration during swing - spine - spine 4 (rad/s^2),0.44001824654801414,0.4604806967773632,towards_healthy
Mean angle acceleration during swing - spine - spine 4 std,1.2792852018765948,0.6883478974824667,1.3745237568939364,0.6593494227668738,10,10,0.639246887720339,n.s.,Levene,Mean angle acceleration during swing - spine - spine 4 std,-0.006958323110196396,-0.010597671773727285,away_from_healthy
Mean angle acceleration during swing - tail - base (rad/s^2),-0.6042178605036632,0.9823747042550727,-0.21759283325976844,0.9772908694446034,10,10,0.40438246149307644,n.s.,Circular,Mean angle acceleration during swing - tail - base (rad/s^2),0.26200838723500797,0.23583815361735444,towards_healthy
Mean angle acceleration during swing - tail - base std,1.2670081081294833,0.5244435613938574,1.4366346063894495,0.6530396672473522,10,10,0.6358534737485094,n.s.,Levene,Mean angle acceleration during swing - tail - base std,-0.18849584157778,-0.28678040554660433,away_from_healthy
Mean angle acceleration during swing - tail - tail 1 (rad/s^2),-0.5202027856377424,0.8372517686691756,-0.06086061162339347,1.0618916498073905,10,10,0.38295635298069863,n.s.,Circular,Mean angle acceleration during swing - tail - tail 1 (rad/s^2),0.40885091971335663,0.343818115809041,towards_healthy
Mean angle acceleration during swing - tail - tail 1 std,1.4312205409442007,0.39478679849444903,1.4012272649435389,0.6096534207404724,10,10,0.049667464764653335,*,Levene,Mean angle acceleration during swing - tail - tail 1 std,-0.16364943758831196,-0.2862809933173036,away_from_healthy
Mean angle acceleration during swing - tail - tail 2 (rad/s^2),0.28833322627248587,1.3232100037641448,0.43237695630838724,0.9800348264999263,10,10,0.44936059150168073,n.s.,Circular,Mean angle acceleration during swing - tail - tail 2 (rad/s^2),-0.1521243714026988,-0.1303946105266131,away_from_healthy
Mean angle acceleration during swing - tail - tail 2 std,1.119448779441297,0.7229015587370947,1.3232228142617297,0.5264348627732958,10,10,0.14671963442605945,n.s.,Levene,Mean angle acceleration during swing - tail - tail 2 std,-0.10938692523356086,-0.1980982497779004,away_from_healthy
Mean angle acceleration during swing - tail - tail 3 (rad/s^2),-0.30452302268822057,1.3692995264191545,0.21388662060407734,1.0023036212610699,10,10,0.2969529696459272,n.s.,Circular,Mean angle acceleration during swing - tail - tail 3 (rad/s^2),0.12248642154081915,0.11381828971122165,towards_healthy
Mean angle acceleration during swing - tail - tail 3 std,1.3235844100606142,0.6585145149457632,1.2637100432243933,0.5830699703519362,10,10,0.8027929494840028,n.s.,Levene,Mean angle acceleration during swing - tail - tail 3 std,-0.19715177163477593,-0.30391811852088424,away_from_healthy
Mean angle acceleration during swing - tail - tail 4 (rad/s^2),0.3081094557277896,0.9837077193138559,0.2220088837062005,1.0233020620017683,10,10,0.7220287488366774,n.s.,Circular,Mean angle acceleration during swing - tail - tail 4 (rad/s^2),-0.23422005954841768,-0.2519231891814781,away_from_healthy
Mean angle acceleration during swing - tail - tail 4 std,1.3059453266700263,0.5022053167854615,1.3858156280672036,0.5185133386907611,10,10,0.9213773206544028,n.s.,Levene,Mean angle acceleration during swing - tail - tail 4 std,0.20499716701285653,0.29048914799609965,towards_healthy
Mean angle at peak - rforelimb - elbow (°),115.28357255876922,3.5194070758923344,115.47318949379226,3.91757064184555,10,10,0.8890878836337227,n.s.,Circular,Mean angle at peak - rforelimb - elbow (°),1.924205368414249,0.6220304921414513,towards_healthy
Mean angle at peak - rforelimb - elbow std,4.3521243105438625,2.4795860585539353,3.3188913728925202,1.9835340348374415,10,10,0.7997558750014884,n.s.,Levene,Mean angle at peak - rforelimb - elbow std,0.7356095576929609,0.43885383448394905,towards_healthy
Mean angle at peak - rforelimb - lForepaw (°),165.96462216844776,3.8892360176429377,162.5839400149518,5.564864509133838,10,10,0.1350533358847983,n.s.,Circular,Mean angle at peak - rforelimb - lForepaw (°),-2.4439426562813082,-0.47919686645947424,away_from_healthy
Mean angle at peak - rforelimb - lForepaw std,3.7197909556410123,2.0585992595509066,4.920915485670586,3.07750720476541,10,10,0.36717784771276907,n.s.,Levene,Mean angle at peak - rforelimb - lForepaw std,-0.37958009893983036,-0.1304307052867433,away_from_healthy
Mean angle at peak - rforelimb - shoulder (°),50.596254110535554,6.090024314010658,48.33639606626649,6.2783054857390965,10,10,0.4173686932835544,n.s.,Circular,Mean angle at peak - rforelimb - shoulder (°),-1.377722402402199,-0.2300294106880302,away_from_healthy
Mean angle at peak - rforelimb - shoulder std,9.964753436756235,2.2589878637148706,5.062448552715394,2.758269819465966,10,10,0.7372608896448699,n.s.,Levene,Mean angle at peak - rforelimb - shoulder std,-2.0017986867935313,-0.5537117853901842,away_from_healthy
Mean angle at peak - rforelimb - wrist (°),129.24681864828545,8.98471324004796,130.0649680944116,4.749423585877599,10,10,0.7178871544072445,n.s.,Circular,Mean angle at peak - rforelimb - wrist (°),2.8175212902262956,0.37014132000770644,towards_healthy
Mean angle at peak - rforelimb - wrist std,12.206617863976724,4.573309826186454,5.790776770512348,3.866124468678459,10,10,0.7930537876434195,n.s.,Levene,Mean angle at peak - rforelimb - wrist std,0.36901561063139177,0.10516856069794978,towards_healthy
Mean angle at peak - rhindlimb - ankle (°),65.962969831783,7.984181216190884,56.66485660912431,4.396968593070144,10,10,0.002983200524503874,**,Circular,Mean angle at peak - rhindlimb - ankle (°),-0.9266799005764739,-0.10666787590471495,away_from_healthy
Mean angle at peak - rhindlimb - ankle std,12.340760024495967,5.975265688066546,4.171178031366874,1.8154310826206606,10,10,0.0036991478186264738,**,Levene,Mean angle at peak - rhindlimb - ankle std,-3.0763305983599096,-0.5262429211468941,away_from_healthy
Mean angle at peak - rhindlimb - hip (°),91.17552725180866,7.964816628644355,96.23891501639831,10.880607464747621,10,10,0.20079794713567584,n.s.,Circular,Mean angle at peak - rhindlimb - hip (°),-3.09940585398779,-0.3707182282841494,away_from_healthy
Mean angle at peak - rhindlimb - hip std,9.842260955347195,4.80988979978108,7.544836932464548,4.3182237742901775,10,10,0.5064095093376033,n.s.,Levene,Mean angle at peak - rhindlimb - hip std,0.11982944545468399,0.026062669070997517,towards_healthy
Mean angle at peak - rhindlimb - knee (°),89.41390902885527,2.9429168470445095,85.71968879184631,1.6318448483750216,10,10,0.003709781965484146,**,Circular,Mean angle at peak - rhindlimb - knee (°),-0.8889758715818061,-0.37434306164442327,away_from_healthy
Mean angle at peak - rhindlimb - knee std,4.019366236505158,2.0173273890426238,1.6522451306439432,0.6738314890820123,10,10,0.051095568078090986,n.s.,Levene,Mean angle at peak - rhindlimb - knee std,-0.4649275812748723,-0.33547394212140963,away_from_healthy
Mean angle at peak - rhindlimb - lHindfingers (°),127.77765874143861,15.09524416747115,146.90597227790678,12.358294320310932,10,10,0.006446655684650746,**,Circular,Mean angle at peak - rhindlimb - lHindfingers (°),-2.6987106967077636,-0.1595489679410808,away_from_healthy
Mean angle at peak - rhindlimb - lHindfingers std,18.583009160597364,6.604429580783791,9.640671695723569,5.136438742503456,10,10,0.37377661462777545,n.s.,Levene,Mean angle at peak - rhindlimb - lHindfingers std,-1.8462297440459086,-0.2262016381968972,away_from_healthy
Mean angle at peak - rhindlimb - lHindpaw (°),162.57006223968884,3.2528547976482343,157.74046451818177,3.875377771706936,10,10,0.007351153734754246,**,Circular,Mean angle at peak - rhindlimb - lHindpaw (°),0.8269828181525725,0.13443496660343313,towards_healthy
Mean angle at peak - rhindlimb - lHindpaw std,5.625729548182275,1.5675164883116055,4.11323953743261,1.4462414594691795,10,10,0.677351873497309,n.s.,Levene,Mean angle at peak - rhindlimb - lHindpaw std,-0.07834884257095531,-0.01650883591506252,away_from_healthy
Mean angle at peak - spine - base (°),30.562297527841984,3.950409207503966,29.085973616655018,3.80868785030856,10,10,0.39882896621202635,n.s.,Circular,Mean angle at peak - spine - base (°),0.34463726818174223,0.10127393814439277,towards_healthy
Mean angle at peak - spine - base std,4.6192232431584825,2.44872373298785,3.274774211374905,1.5911215296104861,10,10,0.524445989082734,n.s.,Levene,Mean angle at peak - spine - base std,0.7647951313814367,0.5370334839033255,towards_healthy
Mean angle at peak - spine - head (°),42.803817488354426,2.656872146249188,40.686630976012474,2.0307127448538282,10,10,0.06080454105996807,n.s.,Circular,Mean angle at peak - spine - head (°),0.8714849025802138,0.3015201586979845,towards_healthy
Mean angle at peak - spine - head std,3.731984199120628,1.8837170325544486,3.3268329228595035,1.39940344982355,10,10,0.284757293751964,n.s.,Levene,Mean angle at peak - spine - head std,0.22111331924598465,0.11922500738775511,towards_healthy
Mean angle at peak - spine - spine 1 (°),151.02408939830138,4.5321959217651875,153.03725430073905,3.34534405411386,10,10,0.2574558566949747,n.s.,Circular,Mean angle at peak - spine - spine 1 (°),0.020565811122878586,0.006701687441513316,towards_healthy
Mean angle at peak - spine - spine 1 std,5.357950861550572,2.8044001990178082,3.9599355940701093,1.280345356445475,10,10,0.046506913003936404,*,Levene,Mean angle at peak - spine - spine 1 std,-0.22371130636926662,-0.09398753011747926,away_from_healthy
Mean angle at peak - spine - spine 2 (°),174.70390275454514,1.584923738839828,175.83682870654792,2.587894607923224,10,10,0.2531730868605105,n.s.,Circular,Mean angle at peak - spine - spine 2 (°),1.0808096790267143,0.44253808677753326,towards_healthy
Mean angle at peak - spine - spine 2 std,2.5820180238242973,1.378144543122714,1.831435922980792,1.4407631286086287,10,10,0.6842071716502696,n.s.,Levene,Mean angle at peak - spine - spine 2 std,0.19026439736527467,0.11861693915824577,towards_healthy
Mean angle at peak - spine - spine 3 (°),152.88558873067103,3.2580246564710476,156.31118878044694,4.604753320378062,10,10,0.07183139010758373,n.s.,Circular,Mean angle at peak - spine - spine 3 (°),1.2487704832830957,0.3227994685091873,towards_healthy
Mean angle at peak - spine - spine 3 std,4.994088711120751,2.480689139256471,4.448004330881096,2.0241335691026188,10,10,0.6068297630667825,n.s.,Levene,Mean angle at peak - spine - spine 3 std,-0.6855400658472037,-0.2985986723775285,away_from_healthy
Mean angle at peak - spine - spine 4 (°),165.19436774658732,2.1669820228647527,162.98378144203758,3.380614995757196,10,10,0.07485702690268928,n.s.,Circular,Mean angle at peak - spine - spine 4 (°),-1.0786230725994699,-0.4229185596928847,away_from_healthy
Mean angle at peak - spine - spine 4 std,2.5562828087064298,1.0666570111494331,2.1137561142549197,1.2080769015372592,10,10,0.8074998772774842,n.s.,Levene,Mean angle at peak - spine - spine 4 std,0.0812148399988164,0.0829276922976666,towards_healthy
Mean angle at peak - tail - base (°),7.256779233982529,2.662994490632069,6.77903996119787,2.6707397584993107,10,10,0.692651828368858,n.s.,Circular,Mean angle at peak - tail - base (°),1.5128835002929444,0.4873371363052336,towards_healthy
Mean angle at peak - tail - base std,2.641460932039495,1.0982182796269482,2.7792492049905775,1.7328510346633526,10,10,0.4369122745349818,n.s.,Levene,Mean angle at peak - tail - base std,0.5431845613262012,0.5045585609080367,towards_healthy
Mean angle at peak - tail - tail 1 (°),174.82875299286775,1.508782523233051,175.79233784042685,1.651685153939791,10,10,0.189782151962137,n.s.,Circular,Mean angle at peak - tail - tail 1 (°),0.07810357652019206,0.06121142592654338,towards_healthy
Mean angle at peak - tail - tail 1 std,2.1633509864089824,1.7036312422842195,1.4924449970603697,0.5930802992749468,10,10,0.14985917119722955,n.s.,Levene,Mean angle at peak - tail - tail 1 std,0.4873413779223681,0.4876530880401361,towards_healthy
Mean angle at peak - tail - tail 2 (°),166.74907179185755,5.425832727162374,167.65245929276676,3.9239042351656215,10,10,0.5088276064056072,n.s.,Circular,Mean angle at peak - tail - tail 2 (°),-0.8003940964970013,-0.2208136778909687,away_from_healthy
Mean angle at peak - tail - tail 2 std,4.235594482087469,3.1447233964721204,2.224970267065822,1.4326652751309568,10,10,0.3657127026958539,n.s.,Levene,Mean angle at peak - tail - tail 2 std,-0.14353877241009805,-0.1125275062618612,away_from_healthy
Mean angle at peak - tail - tail 3 (°),168.53236372996994,3.6417089229989066,167.7725274606613,5.215760306138095,10,10,0.5354813161932666,n.s.,Circular,Mean angle at peak - tail - tail 3 (°),-1.3040224489579373,-0.2934312824059581,away_from_healthy
Mean angle at peak - tail - tail 3 std,5.845286612101177,2.492359500452813,3.507576683045938,2.7667837477229105,10,10,0.7950451349689431,n.s.,Levene,Mean angle at peak - tail - tail 3 std,2.048078872108483,1.2528229077775206,towards_healthy
Mean angle at peak - tail - tail 4 (°),21.40921901911595,7.941761580513086,21.503967597119697,6.044085601706984,10,10,0.8912715828993181,n.s.,Circular,Mean angle at peak - tail - tail 4 (°),-1.9524328810766,-0.28700234234787736,away_from_healthy
Mean angle at peak - tail - tail 4 std,10.03853627046449,6.148167845377992,6.0740087150730915,3.6984953460411507,10,10,0.27041970751716504,n.s.,Levene,Mean angle at peak - tail - tail 4 std,-0.6837912631542018,-0.22630766097498387,away_from_healthy
Mean angle at stance - rforelimb - elbow (°),128.70538084487345,5.763689502355633,129.34352474083116,9.088163144771352,10,10,0.7431949996949416,n.s.,Circular,Mean angle at stance - rforelimb - elbow (°),4.583989501911006,0.9447323507540307,towards_healthy
Mean angle at stance - rforelimb - elbow std,5.989935551158151,3.6357031021804342,4.928730546715156,2.2144615427983343,10,10,0.3070727937022421,n.s.,Levene,Mean angle at stance - rforelimb - elbow std,-0.6506554754302982,-0.3155916135654044,away_from_healthy
Mean angle at stance - rforelimb - lForepaw (°),84.67093538485744,13.500073427973101,68.29046321258127,11.372285227468064,10,10,0.009287690801955309,**,Circular,Mean angle at stance - rforelimb - lForepaw (°),4.42384769825135,0.2821863447481246,towards_healthy
Mean angle at stance - rforelimb - lForepaw std,21.138385835587318,10.106351884604452,7.751163316711209,4.401119367279113,10,10,0.1379551864892706,n.s.,Levene,Mean angle at stance - rforelimb - lForepaw std,-7.303335338109845,-0.8677746904973328,away_from_healthy
Mean angle at stance - rforelimb - shoulder (°),37.35463144275845,2.753121249081565,36.175102564196955,3.415588569428163,10,10,0.3968568913557893,n.s.,Circular,Mean angle at stance - rforelimb - shoulder (°),1.0537961456311464,0.3744590369695844,towards_healthy
