Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration - spine - spine 1 std,65.31457361705796,48.31458208867428,23.599519427170126,15.122414962753815,10,10,0.11060018681843724,n.s.,Levene,Mean angle acceleration - spine - spine 1 std,-14.823116599664644,-0.6892762756403499,away_from_healthy
Mean angle acceleration - spine - spine 2 (rad/s^2),-225.39962024111622,46.339454452073504,-212.99999206949252,21.890336129945673,10,10,0.11761641585844725,n.s.,Circular,Mean angle acceleration - spine - spine 2 (rad/s^2),-20.8738183428776,-0.4491469343459631,away_from_healthy
Mean angle acceleration - spine - spine 2 std,65.1626730594089,52.30129543976925,22.68079736375534,14.165722114199312,10,10,0.05196094565871818,n.s.,Levene,Mean angle acceleration - spine - spine 2 std,-18.93610641761415,-0.7599634832794303,away_from_healthy
Mean angle acceleration - spine - spine 3 (rad/s^2),-198.35228650284694,37.14898159393223,-187.32992337704977,18.080671655755125,10,10,0.037741836968295264,*,Circular,Mean angle acceleration - spine - spine 3 (rad/s^2),-21.05416348897512,-0.5186642017670553,away_from_healthy
Mean angle acceleration - spine - spine 3 std,55.84148444861064,45.59875201405935,20.823537985062455,14.199135459958676,10,10,0.05440060075061801,n.s.,Levene,Mean angle acceleration - spine - spine 3 std,-15.084100512271725,-0.6331430040319598,away_from_healthy
Mean angle acceleration - spine - spine 4 (rad/s^2),-217.67123112779382,42.755715735041406,-201.40251976433223,25.111035472072125,10,10,0.06552704271187469,n.s.,Circular,Mean angle acceleration - spine - spine 4 (rad/s^2),-19.89023214372483,-0.46876387428137495,away_from_healthy
Mean angle acceleration - spine - spine 4 std,67.95634838142959,49.41357698576722,23.16342658228139,14.167904034217651,10,10,0.07017997551938622,n.s.,Levene,Mean angle acceleration - spine - spine 4 std,-16.136769724847227,-0.7093951444412694,away_from_healthy
Mean angle acceleration - tail - base (rad/s^2),-13.928838977701147,2.9733129552254574,-10.233038335434715,3.5403772547503385,10,10,0.20890230159948944,n.s.,Circular,Mean angle acceleration - tail - base (rad/s^2),-5.181516017034259,-0.8754301995483019,away_from_healthy
Mean angle acceleration - tail - base std,8.733147923085653,6.07373222453356,4.881003881077886,3.806766268887787,10,10,0.48345752085235305,n.s.,Levene,Mean angle acceleration - tail - base std,0.6901437467825673,0.20946975641025145,towards_healthy
Mean angle acceleration - tail - tail 1 (rad/s^2),-204.35710327705527,42.33573679090699,-187.97249267311386,20.59356636419263,10,10,0.5850442650343832,n.s.,Circular,Mean angle acceleration - tail - tail 1 (rad/s^2),-20.80801884193366,-0.4127032237582359,away_from_healthy
Mean angle acceleration - tail - tail 1 std,69.83984353529834,33.89751624940299,32.87401316501482,19.342320890966924,10,10,0.11033111154915715,n.s.,Levene,Mean angle acceleration - tail - tail 1 std,-2.3561046826853627,-0.09258420239974048,away_from_healthy
Mean angle acceleration - tail - tail 2 (rad/s^2),-155.9135383693674,30.83675806137261,-140.2533263919766,23.207628086938747,10,10,0.23366667419302925,n.s.,Circular,Mean angle acceleration - tail - tail 2 (rad/s^2),-14.061219891279706,-0.29808613543774864,away_from_healthy
Mean angle acceleration - tail - tail 2 std,72.3854360262005,33.49291058329167,36.82378690868563,21.475646120291493,10,10,0.8944785169018541,n.s.,Levene,Mean angle acceleration - tail - tail 2 std,-1.9426202401598758,-0.052697079356884474,away_from_healthy
Mean angle acceleration - tail - tail 3 (rad/s^2),-165.0659294465417,32.20036607247638,-156.3151455576609,38.14454453013506,10,10,0.8715484719464037,n.s.,Circular,Mean angle acceleration - tail - tail 3 (rad/s^2),-14.929775540754576,-0.32749779164739407,away_from_healthy
Mean angle acceleration - tail - tail 3 std,60.850729467379246,29.867607379684507,30.900607598805266,15.053881142722652,10,10,0.23109317618263056,n.s.,Levene,Mean angle acceleration - tail - tail 3 std,-1.0921634220721899,-0.03727155744341795,away_from_healthy
Mean angle acceleration - tail - tail 4 (rad/s^2),-66.90420499741057,21.375100117991703,-72.32087162150604,11.775943193096083,10,10,0.2928096371520296,n.s.,Circular,Mean angle acceleration - tail - tail 4 (rad/s^2),-0.43224984088965357,-0.01823060359660696,away_from_healthy
Mean angle acceleration - tail - tail 4 std,33.195162059507474,15.18169305987519,15.583608581057081,10.96011070730175,10,10,0.3105382330309572,n.s.,Levene,Mean angle acceleration - tail - tail 4 std,-2.598469926876593,-0.17553295029327096,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),24.742676639788126,128.726634714135,50.24937152526385,139.22650237497416,10,10,0.6496589826562553,n.s.,Circular,Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),-3.600703619531693,-0.026590396474340666,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow std,290.53823833475883,204.85250366908303,269.39173088883973,130.30106839877925,10,10,0.31429741991747495,n.s.,Levene,Mean angle acceleration at peak - rforelimb - elbow std,88.88524992203054,0.981695661385464,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),-318.87475569218776,348.66436589797456,-347.7410781522668,332.9733493340014,10,10,0.08403557330700655,n.s.,Circular,Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),170.2743689436785,0.5098739685750611,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw std,428.36436271459417,219.35501891896618,299.3654527281781,237.3319270322349,10,10,0.7812382877678081,n.s.,Levene,Mean angle acceleration at peak - rforelimb - lForepaw std,-31.584800564969953,-0.11521351970010456,away_from_healthy
Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),79.27729437451453,116.59567910471667,102.53746782022681,71.25028328903252,10,10,0.36779997177244417,n.s.,Circular,Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),13.58688365441408,0.11593890212261865,towards_healthy
Mean angle acceleration at peak - rforelimb - shoulder std,191.1133224822604,132.70550006578395,144.96188920878257,51.357608565646416,10,10,0.15522676035610472,n.s.,Levene,Mean angle acceleration at peak - rforelimb - shoulder std,47.724170456975685,0.5552696889446829,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),250.06913404259348,329.0625093707789,374.64690210926,308.67726553379816,10,10,0.41069423558226725,n.s.,Circular,Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),171.50503670142854,0.44190660992819264,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist std,471.4175915682939,313.86755756870593,324.11146860632886,234.6901453577325,10,10,0.32702908721103857,n.s.,Levene,Mean angle acceleration at peak - rforelimb - wrist std,-52.766027089199326,-0.22498917391695408,away_from_healthy
Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),26.823569696649514,516.858022610837,705.2553585170342,386.33221884289753,10,10,0.14715008664741233,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),228.71745249437777,0.46268326652148073,towards_healthy
Mean angle acceleration at peak - rhindlimb - ankle std,1010.9558281485758,528.9751146006623,496.3912076625883,279.7360963248373,10,10,0.006558104388721485,**,Levene,Mean angle acceleration at peak - rhindlimb - ankle std,-0.9053799629615469,-0.0027598248960265842,away_from_healthy
