Feature,Statistical Test,Global p-value,Global significance,Mean Healthy Left B,SD Healthy Left B,Number of samples in Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Sick Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Sick Left E,p-value Healthy Left B vs Sick Left C,Significance Healthy Left B vs Sick Left C,p-value Healthy Left B vs Sick Left E,Significance Healthy Left B vs Sick Left E,p-value Sick Left C vs Sick Left E,Significance Sick Left C vs Sick Left E,feature,change value,change_effect_size,direction
Mean angle acceleration - rhindlimb - lHindpaw (rad/s^2),Circular,0.05569771329186252,n.s.,-229.21145893629358,44.897164968740945,10,-202.42213598077402,32.67403072655182,10,-184.62430214210582,24.681683044198007,10,1.0,n.s.,0.21647875790384025,n.s.,0.521414365882831,n.s.,Mean angle acceleration - rhindlimb - lHindpaw (rad/s^2),-17.797833838668197,-0.45328452691861254,away_from_healthy
Mean angle acceleration - rhindlimb - lHindpaw std,Levene,0.4525492474880145,n.s.,61.272832517418365,17.411246895078932,10,39.52499604388324,24.344144882177474,10,20.202909707220872,13.183444479532106,10,1.0,n.s.,1.0,n.s.,0.7460165644227437,n.s.,Mean angle acceleration - rhindlimb - lHindpaw std,-19.322086336662373,-0.912990325954289,away_from_healthy
Mean angle acceleration - spine - base (rad/s^2),Circular,0.6418732021829641,n.s.,-45.69503638479156,9.929117256267007,10,-42.735630124333035,8.574939369645442,10,-42.50152198752106,7.786470148704239,10,1.0,n.s.,0.8869789089336398,n.s.,0.47493252478088943,n.s.,Mean angle acceleration - spine - base (rad/s^2),-0.23410813681197595,-0.025235951246656414,away_from_healthy
Mean angle acceleration - spine - base std,Levene,0.7749803755544442,n.s.,12.97018529338519,6.297809766657209,10,10.331082225155484,4.922787182470438,10,6.950544729749329,4.75758083164196,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - base std,-3.3805374954061547,-0.5980852592730879,away_from_healthy
Mean angle acceleration - spine - head (rad/s^2),Circular,0.02462095593373228,*,-63.21184138105341,13.81597311457352,10,-53.63337283000792,11.125740447406649,10,-50.267974591149056,4.634101332127191,10,1.0,n.s.,0.18406616140717236,n.s.,0.4626699587554267,n.s.,Mean angle acceleration - spine - head (rad/s^2),-3.365398238858866,-0.26830481963136454,away_from_healthy
Mean angle acceleration - spine - head std,Levene,0.4116960201848756,n.s.,15.912545595456638,5.946563846239838,10,8.821513307169244,8.634073124109063,10,9.282815750742676,3.5818867278157542,10,1.0,n.s.,1.0,n.s.,0.6347417410642242,n.s.,Mean angle acceleration - spine - head std,0.4613024435734321,0.06222779900167068,towards_healthy
Mean angle acceleration - spine - spine 1 (rad/s^2),Circular,0.09174820827037057,n.s.,-229.68442249440554,45.927884561089805,10,-209.49074640914463,32.498027671200624,10,-191.845639513962,25.978459393315568,10,0.6571388829901215,n.s.,0.47073703387446464,n.s.,0.5161597793809729,n.s.,Mean angle acceleration - spine - spine 1 (rad/s^2),-17.645106895182636,-0.4435255622557214,away_from_healthy
Mean angle acceleration - spine - spine 1 std,Levene,0.7989307888279061,n.s.,64.88869548716362,22.312201844100763,10,38.422636026834766,20.666989112453955,10,23.599519427170126,15.122414962753815,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - spine 1 std,-14.823116599664644,-0.6892762756403499,away_from_healthy
Mean angle acceleration - spine - spine 2 (rad/s^2),Circular,0.036420127247009305,*,-262.7604392451262,55.0683917766803,10,-233.87381041237012,35.877644004675176,10,-212.99999206949252,21.890336129945673,10,0.4725252382661211,n.s.,0.21489521352201146,n.s.,0.7969577628626643,n.s.,Mean angle acceleration - spine - spine 2 (rad/s^2),-20.8738183428776,-0.4491469343459631,away_from_healthy
Mean angle acceleration - spine - spine 2 std,Levene,0.7100263028942495,n.s.,71.23276531042549,25.419869914821778,10,41.61690378136949,24.40402880179712,10,22.68079736375534,14.165722114199312,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - spine 2 std,-18.93610641761415,-0.7599634832794303,away_from_healthy
Mean angle acceleration - spine - spine 3 (rad/s^2),Circular,0.0441363497758989,*,-231.06460112779854,49.81567024734631,10,-208.3840868660249,28.530526099462087,10,-187.32992337704977,18.080671655755125,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - spine 3 (rad/s^2),-21.05416348897512,-0.5186642017670553,away_from_healthy
Mean angle acceleration - spine - spine 3 std,Levene,0.7426127470846837,n.s.,61.960140140870884,23.153435274644533,10,35.907638497334176,24.476512756898053,10,20.823537985062455,14.199135459958676,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - spine 3 std,-15.084100512271725,-0.6331430040319598,away_from_healthy
Mean angle acceleration - spine - spine 4 (rad/s^2),Circular,0.0376753489382495,*,-249.4944402165846,48.80093811895083,10,-221.29275190805706,34.918312997909446,10,-201.40251976433223,25.111035472072125,10,0.9118422878860237,n.s.,0.06185806560119792,n.s.,0.0587307866953876,n.s.,Mean angle acceleration - spine - spine 4 (rad/s^2),-19.89023214372483,-0.46876387428137495,away_from_healthy
