feature,value 1,value 2
Mean step acceleration Y during swing - ankle (m/s^2),-0.85±0.35,-1.28±0.36
Mean step height (m),0.00±0.00,0.00±0.00
Mean step jerk X at peak - hip (m/s^3),-104.88±235.54,143.05±317.38
Mean step jerk X at swing - ankle (m/s^3),475.30±279.60,131.85±314.69
Mean step jerk X at swing - knee (m/s^3),437.93±359.32,89.32±233.99
Mean step jerk X at touchdown - lHindfingers (m/s^3),1089.34 (median),1706.61 (median)
Mean step jerk X at touchdown - lHindpaw (m/s^3),1181.06 (median),1812.65 (median)
Mean step jerk Y at peak - ankle (m/s^3),-119.96±454.95,456.87±494.69
Mean step jerk Y at peak - lHindfingers (m/s^3),-823.68 (median),290.35 (median)
Mean step jerk Y at peak - lHindpaw (m/s^3),-558.69 (median),288.54 (median)
Mean step jerk Y at stance - lHindfingers (m/s^3),82.04 (median),-319.14 (median)
Mean step jerk Y at swing - ankle (m/s^3),-28.29±199.36,-241.30±254.59
Mean step jerk Y during stance - knee (m/s^3),39.53±27.51,22.98±15.95
Mean step jerk Y during stance - lHindfingers (m/s^3),5.17 (median),-16.05 (median)
Mean step jerk Y during swing - hip (m/s^3),-19.19 (median),-8.00 (median)
Mean step jerk Y during swing - lHindfingers (m/s^3),-18.31±25.28,7.33±23.35
Mean step velocity X at stance - lHindpaw (m/s),0.07 (median),0.04 (median)
Mean step velocity X during stance - lHindfingers (m/s),0.03±0.01,0.01±0.01
Mean step velocity X during stance - lHindpaw (m/s),0.05±0.02,0.03±0.01
Mean step velocity Y at peak - ankle (m/s),-0.06±0.03,-0.11±0.02
Mean step velocity Y at peak - lHindfingers (m/s),0.07 (median),-0.00 (median)
Mean step velocity Y at peak - lHindpaw (m/s),0.04±0.02,-0.02±0.03
Mean step velocity Y at stance - ankle (m/s),-0.02±0.02,-0.01±0.01
Mean step velocity Y at swing - ankle (m/s),0.05±0.02,0.11±0.02
Mean step velocity Y at swing - hip (m/s),0.01±0.01,-0.00±0.01
Mean step velocity Y at swing - lHindpaw (m/s),0.07±0.02,0.09±0.02
Mean step velocity Y during swing - ankle (m/s),-0.07±0.01,-0.06±0.01
