Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration - spine - spine 1 std,64.88869548716362,22.312201844100763,38.422636026834766,20.666989112453955,10,10,0.6266705390909066,n.s.,Levene,Mean angle acceleration - spine - spine 1 std,-14.823116599664644,-0.6892762756403499,away_from_healthy
Mean angle acceleration - spine - spine 2 (rad/s^2),-262.7604392451262,55.0683917766803,-233.87381041237012,35.877644004675176,10,10,0.15750841275537372,n.s.,Circular,Mean angle acceleration - spine - spine 2 (rad/s^2),-20.8738183428776,-0.4491469343459631,away_from_healthy
Mean angle acceleration - spine - spine 2 std,71.23276531042549,25.419869914821778,41.61690378136949,24.40402880179712,10,10,0.833917590706755,n.s.,Levene,Mean angle acceleration - spine - spine 2 std,-18.93610641761415,-0.7599634832794303,away_from_healthy
Mean angle acceleration - spine - spine 3 (rad/s^2),-231.06460112779854,49.81567024734631,-208.3840868660249,28.530526099462087,10,10,0.8682193348251217,n.s.,Circular,Mean angle acceleration - spine - spine 3 (rad/s^2),-21.05416348897512,-0.5186642017670553,away_from_healthy
Mean angle acceleration - spine - spine 3 std,61.960140140870884,23.153435274644533,35.907638497334176,24.476512756898053,10,10,0.9542187672943417,n.s.,Levene,Mean angle acceleration - spine - spine 3 std,-15.084100512271725,-0.6331430040319598,away_from_healthy
Mean angle acceleration - spine - spine 4 (rad/s^2),-249.4944402165846,48.80093811895083,-221.29275190805706,34.918312997909446,10,10,0.30394742929534124,n.s.,Circular,Mean angle acceleration - spine - spine 4 (rad/s^2),-19.89023214372483,-0.46876387428137495,away_from_healthy
Mean angle acceleration - spine - spine 4 std,68.85276069882146,21.97216251817487,39.300196307128616,23.496731808346137,10,10,0.9277773553279184,n.s.,Levene,Mean angle acceleration - spine - spine 4 std,-16.136769724847227,-0.7093951444412694,away_from_healthy
Mean angle acceleration - tail - base (rad/s^2),-15.628591558864255,6.62462822729565,-15.414554352468974,5.116563485806981,10,10,0.15610377999981237,n.s.,Circular,Mean angle acceleration - tail - base (rad/s^2),-5.181516017034259,-0.8754301995483019,away_from_healthy
Mean angle acceleration - tail - base std,5.325848247960713,1.8277597126700762,6.460836361626107,4.285980160582701,10,10,0.20803886163815713,n.s.,Levene,Mean angle acceleration - tail - base std,0.6901437467825673,0.20946975641025145,towards_healthy
Mean angle acceleration - tail - tail 1 (rad/s^2),-231.2805560535012,52.21697799144196,-208.78051151504752,48.55416119641781,10,10,0.009893775589435515,**,Circular,Mean angle acceleration - tail - tail 1 (rad/s^2),-20.80801884193366,-0.4127032237582359,away_from_healthy
Mean angle acceleration - tail - tail 1 std,78.71489132870322,28.53997083285101,35.230117847700186,21.92477026141893,10,10,0.5069857133746221,n.s.,Levene,Mean angle acceleration - tail - tail 1 std,-2.3561046826853627,-0.09258420239974048,away_from_healthy
Mean angle acceleration - tail - tail 2 (rad/s^2),-174.36933218934342,39.9557648054609,-154.3145462832563,53.421617131052045,10,10,0.7287360588575107,n.s.,Circular,Mean angle acceleration - tail - tail 2 (rad/s^2),-14.061219891279706,-0.29808613543774864,away_from_healthy
Mean angle acceleration - tail - tail 2 std,67.05319073174402,41.09937554328817,38.76640714884551,32.07392445211875,10,10,0.4502757912828409,n.s.,Levene,Mean angle acceleration - tail - tail 2 std,-1.9426202401598758,-0.052697079356884474,away_from_healthy
Mean angle acceleration - tail - tail 3 (rad/s^2),-205.4881552064913,46.786843202974346,-171.2449210984155,44.35555085509724,10,10,0.8791767750884367,n.s.,Circular,Mean angle acceleration - tail - tail 3 (rad/s^2),-14.929775540754576,-0.32749779164739407,away_from_healthy
Mean angle acceleration - tail - tail 3 std,69.76078255176736,28.572501781291862,31.992771020877456,30.015461934519166,10,10,0.711934776112199,n.s.,Levene,Mean angle acceleration - tail - tail 3 std,-1.0921634220721899,-0.03727155744341795,away_from_healthy
Mean angle acceleration - tail - tail 4 (rad/s^2),-74.56377357734924,30.042172192100804,-72.7531214623957,14.893209492945962,10,10,0.004345521883743514,**,Circular,Mean angle acceleration - tail - tail 4 (rad/s^2),-0.43224984088965357,-0.01823060359660696,away_from_healthy
