Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at touchdown - spine - spine 2 (rad/s^2),55.712831537667206,87.8105438811439,31.676608613193753,115.65979366924867,10,10,0.6035573890263174,n.s.,Circular,Mean angle acceleration at touchdown - spine - spine 2 (rad/s^2),-29.905039476131396,-0.2912345681309863,away_from_healthy
Mean angle acceleration at touchdown - spine - spine 2 std,150.20501360419684,55.90484546229511,150.07049976710007,116.35869884363599,10,10,0.2544797072167797,n.s.,Levene,Mean angle acceleration at touchdown - spine - spine 2 std,-0.8488883524541961,-0.009299655091271059,away_from_healthy
Mean angle acceleration at touchdown - spine - spine 3 (rad/s^2),114.16161405276753,119.42686741135685,209.6089248116623,109.57968754131413,10,10,0.3993993140364198,n.s.,Circular,Mean angle acceleration at touchdown - spine - spine 3 (rad/s^2),69.21973445719098,0.6039637665008867,towards_healthy
Mean angle acceleration at touchdown - spine - spine 3 std,132.33515888258336,67.78122768122986,129.68061555283737,72.47123767404481,10,10,0.6649334601212478,n.s.,Levene,Mean angle acceleration at touchdown - spine - spine 3 std,-28.571288055663842,-0.4071989308987457,away_from_healthy
Mean angle acceleration at touchdown - spine - spine 4 (rad/s^2),27.61875718927039,121.65924831814633,-30.7659674197117,74.3359320910737,10,10,0.4885843190830481,n.s.,Circular,Mean angle acceleration at touchdown - spine - spine 4 (rad/s^2),33.368348614641796,0.33099022455133215,towards_healthy
Mean angle acceleration at touchdown - spine - spine 4 std,94.25282418711522,61.85095467399057,101.59000070667297,67.92072655586428,10,10,0.8775872747060809,n.s.,Levene,Mean angle acceleration at touchdown - spine - spine 4 std,-66.54836253375005,-1.024502228550234,away_from_healthy
Mean angle acceleration at touchdown - tail - base (rad/s^2),40.09702902048947,59.181295324978116,-3.491472831097407,68.09421962987396,10,10,0.14583571521514493,n.s.,Circular,Mean angle acceleration at touchdown - tail - base (rad/s^2),-4.24655880410068,-0.0665671536123738,away_from_healthy
Mean angle acceleration at touchdown - tail - base std,79.03189378672297,47.09788064921636,106.27706721353772,57.0197122611629,10,10,0.3870424903041624,n.s.,Levene,Mean angle acceleration at touchdown - tail - base std,-16.503556076595657,-0.31558793175998345,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 1 (rad/s^2),-29.350389190138266,76.4341730171076,-35.33937987538363,65.14579137753672,10,10,0.5464205903275432,n.s.,Circular,Mean angle acceleration at touchdown - tail - tail 1 (rad/s^2),-3.6494102363059895,-0.05138955097683325,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 1 std,148.7230702494907,65.68666966622601,124.97324583632664,78.33253280028441,10,10,0.7886076360688485,n.s.,Levene,Mean angle acceleration at touchdown - tail - tail 1 std,16.20242200300183,0.22414122574717596,towards_healthy
Mean angle acceleration at touchdown - tail - tail 2 (rad/s^2),62.77190913303191,134.93379923964065,66.3422816424944,111.7366736947889,10,10,0.47487558397277374,n.s.,Circular,Mean angle acceleration at touchdown - tail - tail 2 (rad/s^2),-29.072833065379548,-0.23468657157209438,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 2 std,119.16733754336398,66.73114956907962,117.68990471438462,49.158383633527926,10,10,0.4258350686982987,n.s.,Levene,Mean angle acceleration at touchdown - tail - tail 2 std,-6.349485341869752,-0.10833979736421472,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 3 (rad/s^2),-85.90927715493054,145.2217379764529,-34.85707238173889,88.49876946520173,10,10,0.6199945447612197,n.s.,Circular,Mean angle acceleration at touchdown - tail - tail 3 (rad/s^2),-10.273106224806845,-0.08542937525375295,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 3 std,126.58142045948573,141.2608338354396,148.13859083968802,80.91916226259671,10,10,0.8272061312150468,n.s.,Levene,Mean angle acceleration at touchdown - tail - tail 3 std,-38.34610930220609,-0.33311378376531864,away_from_healthy
Mean angle acceleration at touchdown - tail - tail 4 (rad/s^2),31.363818561029337,153.7130187136723,-26.20660175035899,93.21047208819928,10,10,0.08613178631472194,n.s.,Circular,Mean angle acceleration at touchdown - tail - tail 4 (rad/s^2),23.858575963888036,0.18769447747926882,towards_healthy
Mean angle acceleration at touchdown - tail - tail 4 std,112.74187692251253,134.36013233700604,133.5755379455934,71.69135117350318,10,10,0.7605371224596769,n.s.,Levene,Mean angle acceleration at touchdown - tail - tail 4 std,-37.744150682373174,-0.35050384941109425,away_from_healthy
Mean angle acceleration during stance - rforelimb - elbow (rad/s^2),-0.5422422829897465,0.8304976235113806,0.03705827020523049,1.0413549416269887,10,10,0.06120240762616838,n.s.,Circular,Mean angle acceleration during stance - rforelimb - elbow (rad/s^2),-0.391932003268168,-0.41613188706406584,away_from_healthy
Mean angle acceleration during stance - rforelimb - elbow std,1.4682698233256728,0.6821803907382186,1.269750472480026,0.5716957360987148,10,10,0.7101902676848126,n.s.,Levene,Mean angle acceleration during stance - rforelimb - elbow std,0.04278840411507989,0.06798639223967255,towards_healthy
Mean angle acceleration during stance - rforelimb - lForepaw (rad/s^2),0.3985368033401741,0.991995603144229,-0.0541729486404902,1.199126708007398,10,10,0.2808254778945925,n.s.,Circular,Mean angle acceleration during stance - rforelimb - lForepaw (rad/s^2),-0.13392068666282675,-0.12169680310112363,away_from_healthy
Mean angle acceleration during stance - rforelimb - lForepaw std,1.3874849215379343,0.7196719644156119,1.4194240764272288,0.5239179918967107,10,10,0.2934046298245543,n.s.,Levene,Mean angle acceleration during stance - rforelimb - lForepaw std,0.010521466380022382,0.01671529935374701,towards_healthy
Mean angle acceleration during stance - rforelimb - shoulder (rad/s^2),0.39356174948544365,0.8526189944911666,-0.04534656817859733,1.0978996222140829,10,10,0.3719111354077924,n.s.,Circular,Mean angle acceleration during stance - rforelimb - shoulder (rad/s^2),-0.4532360829618938,-0.4611024147458525,away_from_healthy
Mean angle acceleration during stance - rforelimb - shoulder std,1.3821738974967548,0.5162716827355353,1.4509921056190724,0.5006889204082601,10,10,0.649286556158711,n.s.,Levene,Mean angle acceleration during stance - rforelimb - shoulder std,-0.13861685663022194,-0.2725780843464207,away_from_healthy
Mean angle acceleration during stance - rforelimb - wrist (rad/s^2),-0.04109919724973902,1.1694064387928853,-0.3600045988723823,1.3229373715521404,10,10,0.3663439426699664,n.s.,Circular,Mean angle acceleration during stance - rforelimb - wrist (rad/s^2),0.20673548245950985,0.16558257033570145,towards_healthy
Mean angle acceleration during stance - rforelimb - wrist std,1.040429256598912,0.3583261073539389,1.1382608099011908,0.7497977832516898,10,10,0.005522479393678205,**,Levene,Mean angle acceleration during stance - rforelimb - wrist std,-0.333684414783054,-0.5678575719685471,away_from_healthy
Mean angle acceleration during stance - rhindlimb - ankle (rad/s^2),0.12169883795330642,1.0321742181965101,-0.09378550094120268,1.0068467736899682,10,10,0.8294347996881736,n.s.,Circular,Mean angle acceleration during stance - rhindlimb - ankle (rad/s^2),0.15417119533828072,0.15120913786361734,towards_healthy
Mean angle acceleration during stance - rhindlimb - ankle std,0.941838974437875,0.5084873300123368,1.4750173714142434,0.7043118944779204,10,10,0.4836073480084454,n.s.,Levene,Mean angle acceleration during stance - rhindlimb - ankle std,-0.009675416010849647,-0.015751504465731522,away_from_healthy
Mean angle acceleration during stance - rhindlimb - hip (rad/s^2),-0.23878651910395093,0.7842459379156969,-0.019948810192498605,0.9955881518258114,10,10,0.42464326806262165,n.s.,Circular,Mean angle acceleration during stance - rhindlimb - hip (rad/s^2),0.07275814248158935,0.08118797809193615,towards_healthy
Mean angle acceleration during stance - rhindlimb - hip std,1.7340220631840004,0.57771094301325,1.4392403365128437,0.7507802307879019,10,10,0.2072236478494032,n.s.,Levene,Mean angle acceleration during stance - rhindlimb - hip std,-0.11113328068135453,-0.1659056001160489,away_from_healthy
Mean angle acceleration during stance - rhindlimb - knee (rad/s^2),0.650623750746034,0.7404233410991361,0.07565444241257084,1.128055835301244,10,10,0.22028438172070394,n.s.,Circular,Mean angle acceleration during stance - rhindlimb - knee (rad/s^2),0.2910746359851014,0.3050673915851365,towards_healthy
Mean angle acceleration during stance - rhindlimb - knee std,1.0542661360008472,0.5247361764668094,1.2757873918164826,0.6789882309053227,10,10,0.42475506450112266,n.s.,Levene,Mean angle acceleration during stance - rhindlimb - knee std,-0.14537824502499985,-0.2395882250663293,away_from_healthy
Mean angle acceleration during stance - rhindlimb - lHindfingers (rad/s^2),-0.13870450117018454,1.0281533114584154,-0.15804390238644503,0.7986773285148573,10,10,0.5268069812321015,n.s.,Circular,Mean angle acceleration during stance - rhindlimb - lHindfingers (rad/s^2),-0.3846876738992117,-0.41786921447748815,away_from_healthy
Mean angle acceleration during stance - rhindlimb - lHindfingers std,1.5331347469908507,0.5786997570309841,1.595731063267131,0.4150725051806046,10,10,0.3650735256742589,n.s.,Levene,Mean angle acceleration during stance - rhindlimb - lHindfingers std,0.03348190636814774,0.06648822178345994,towards_healthy
Mean angle acceleration during stance - rhindlimb - lHindpaw (rad/s^2),-0.44972685975347304,0.8136881938575995,-0.3385368013835942,1.109563828426252,10,10,0.5115151445350017,n.s.,Circular,Mean angle acceleration during stance - rhindlimb - lHindpaw (rad/s^2),-0.518237211693764,-0.5326513204555805,away_from_healthy
Mean angle acceleration during stance - rhindlimb - lHindpaw std,1.2083505329163295,0.6899866480139973,1.3379974801003947,0.5242409170149979,10,10,0.6232955625568166,n.s.,Levene,Mean angle acceleration during stance - rhindlimb - lHindpaw std,0.05710350761169125,0.09319311038544748,towards_healthy
Mean angle acceleration during stance - spine - base (rad/s^2),-0.43490446422013307,1.219883180006496,-0.38820406720948625,1.4282612325735953,10,10,0.44342888931106517,n.s.,Circular,Mean angle acceleration during stance - spine - base (rad/s^2),-0.6580878536811887,-0.49548647867184137,away_from_healthy
Mean angle acceleration during stance - spine - base std,1.196543747152555,0.513332190672076,1.0193041145383472,0.5096663606928232,10,10,0.994146889200076,n.s.,Levene,Mean angle acceleration during stance - spine - base std,-0.017345466976663282,-0.03391081168025414,away_from_healthy
Mean angle acceleration during stance - spine - head (rad/s^2),-0.214307351005019,0.9908321690053145,-0.21394438717366454,1.2517518346448953,10,10,0.6181715687088607,n.s.,Circular,Mean angle acceleration during stance - spine - head (rad/s^2),-0.5466590786398048,-0.48425942117860415,away_from_healthy
Mean angle acceleration during stance - spine - head std,1.5874483035079918,0.4205210710029929,0.9928847227704655,0.7905515148499709,10,10,0.2308063275370519,n.s.,Levene,Mean angle acceleration during stance - spine - head std,0.5910285402141872,0.9334430068312076,towards_healthy
Mean angle acceleration during stance - spine - spine 1 (rad/s^2),-0.8064287858638839,0.6052118837745534,0.3397845551098252,1.0404822518086378,10,10,0.011660931942165813,*,Circular,Mean angle acceleration during stance - spine - spine 1 (rad/s^2),0.12166837826382881,0.1429472476978564,towards_healthy
Mean angle acceleration during stance - spine - spine 1 std,1.307070477336532,0.47603222891962976,1.0869687311241967,0.25266490014631027,10,10,0.2717938786002232,n.s.,Levene,Mean angle acceleration during stance - spine - spine 1 std,0.12340460905920381,0.32382733293708366,towards_healthy
Mean angle acceleration during stance - spine - spine 2 (rad/s^2),0.058324335288150474,0.6900922956933135,0.558413397817065,0.8593879650697841,10,10,0.1730847383101608,n.s.,Circular,Mean angle acceleration during stance - spine - spine 2 (rad/s^2),0.2308113412613727,0.2961585060367954,towards_healthy
Mean angle acceleration during stance - spine - spine 2 std,1.9079435919958243,0.5058434623729196,1.3850842185144885,0.5399107733116367,10,10,0.9294180151643938,n.s.,Levene,Mean angle acceleration during stance - spine - spine 2 std,-0.3092368349737178,-0.5911004069513661,away_from_healthy
Mean angle acceleration during stance - spine - spine 3 (rad/s^2),-0.6102134935761919,1.2743325288686953,0.15289725334319323,0.7991751652424188,10,10,0.04549049535300718,*,Circular,Mean angle acceleration during stance - spine - spine 3 (rad/s^2),0.6346889978090198,0.5967214644970326,towards_healthy
Mean angle acceleration during stance - spine - spine 3 std,0.9249283190894874,0.48567416103833794,1.2111405239318636,0.6905369774342579,10,10,0.4296697714619009,n.s.,Levene,Mean angle acceleration during stance - spine - spine 3 std,0.15091517240329222,0.2528064867969757,towards_healthy
Mean angle acceleration during stance - spine - spine 4 (rad/s^2),-0.08183209319465533,0.8656230989292645,-0.1839168890188954,1.135023317900688,10,10,0.36306280299228666,n.s.,Circular,Mean angle acceleration during stance - spine - spine 4 (rad/s^2),0.017908361600798894,0.017742441487233748,towards_healthy
Mean angle acceleration during stance - spine - spine 4 std,1.2871472858671968,0.7073974466046028,1.0193456190641181,0.3794038092643124,10,10,0.0493846277258034,*,Levene,Mean angle acceleration during stance - spine - spine 4 std,0.10396391233046254,0.18316136256077867,towards_healthy
Mean angle acceleration during stance - tail - base (rad/s^2),0.04255558424274088,0.8827832371881278,-0.1461093253270032,0.8526602562251221,10,10,0.8259861109076524,n.s.,Circular,Mean angle acceleration during stance - tail - base (rad/s^2),-0.046545309408756314,-0.05363274518483512,away_from_healthy
Mean angle acceleration during stance - tail - base std,1.5285988448007444,0.651056263397428,1.4603181052530896,0.6610491681237072,10,10,0.775130211965986,n.s.,Levene,Mean angle acceleration during stance - tail - base std,0.031816102047919737,0.04849485204234059,towards_healthy
Mean angle acceleration during stance - tail - tail 1 (rad/s^2),-0.6470710481993943,1.4057477707712678,0.5306102856193342,1.209431343081278,10,10,0.22104824881647195,n.s.,Circular,Mean angle acceleration during stance - tail - tail 1 (rad/s^2),0.57741226502425,0.44034627307965013,towards_healthy
Mean angle acceleration during stance - tail - tail 1 std,1.2057193517905245,0.7648414069427355,1.1328926020030616,0.49883130137224935,10,10,0.33047548737598487,n.s.,Levene,Mean angle acceleration during stance - tail - tail 1 std,-0.2511088352258395,-0.38890374732119626,away_from_healthy
Mean angle acceleration during stance - tail - tail 2 (rad/s^2),-0.004046880319025359,0.7666131291993731,-0.09562354355005047,1.3281435234233807,10,10,0.06470587831003385,n.s.,Circular,Mean angle acceleration during stance - tail - tail 2 (rad/s^2),-0.11535476502599228,-0.10638078401680497,away_from_healthy
Mean angle acceleration during stance - tail - tail 2 std,1.4901736269745405,0.466065309136972,1.0914103489864675,0.5987135941737258,10,10,0.5867961958084087,n.s.,Levene,Mean angle acceleration during stance - tail - tail 2 std,0.2647684166990685,0.49350613012660915,towards_healthy
Mean angle acceleration during stance - tail - tail 3 (rad/s^2),-0.05634374794388175,1.0353431460680556,-0.009889843042554868,1.0235586057878663,10,10,0.8193032343892701,n.s.,Circular,Mean angle acceleration during stance - tail - tail 3 (rad/s^2),-0.27888386916622504,-0.2709010284755249,away_from_healthy
Mean angle acceleration during stance - tail - tail 3 std,1.5848803395158613,0.6120752840296667,1.3892817657202017,0.2883860252745216,10,10,0.13265899957772212,n.s.,Levene,Mean angle acceleration during stance - tail - tail 3 std,-0.062494065433064794,-0.13062148689137443,away_from_healthy
Mean angle acceleration during stance - tail - tail 4 (rad/s^2),0.2799847186399268,1.002212824809633,0.20175286142568707,1.394878487044619,10,10,0.4083016884999182,n.s.,Circular,Mean angle acceleration during stance - tail - tail 4 (rad/s^2),-0.957765392613962,-0.7885959676060156,away_from_healthy
Mean angle acceleration during stance - tail - tail 4 std,1.2777910024525638,0.6226680970731047,1.4553779561504157,0.7115566614534605,10,10,0.9847752820898618,n.s.,Levene,Mean angle acceleration during stance - tail - tail 4 std,0.06966885226446973,0.10420246344432324,towards_healthy
Mean angle acceleration during swing - rforelimb - elbow (rad/s^2),0.1986856594983781,0.9564678535971188,0.050877189741466954,0.9568769060513956,10,10,0.6474836883667147,n.s.,Circular,Mean angle acceleration during swing - rforelimb - elbow (rad/s^2),0.10845371493359449,0.11336557294048202,towards_healthy
Mean angle acceleration during swing - rforelimb - elbow std,1.3988910146642046,0.3781759772689547,1.743174557111913,0.6498378800608219,10,10,0.3168900771567309,n.s.,Levene,Mean angle acceleration during swing - rforelimb - elbow std,0.038407919626294085,0.07224268085301416,towards_healthy
Mean angle acceleration during swing - rforelimb - lForepaw (rad/s^2),0.12154247374475213,0.9522333712368329,0.1677537189250442,1.3359979547983993,10,10,0.16254703583482247,n.s.,Circular,Mean angle acceleration during swing - rforelimb - lForepaw (rad/s^2),-0.0858461455001503,-0.0739992635362558,away_from_healthy
Mean angle acceleration during swing - rforelimb - lForepaw std,1.3931623667166702,0.5574658843862179,1.0406804663967872,0.5509920059435104,10,10,0.9683201777533516,n.s.,Levene,Mean angle acceleration during swing - rforelimb - lForepaw std,0.1059223961519502,0.19111342086780894,towards_healthy
Mean angle acceleration during swing - rforelimb - shoulder (rad/s^2),-0.4460402550629629,1.0797211080518099,0.0297543761929143,0.673930119951753,10,10,0.09380904756108814,n.s.,Circular,Mean angle acceleration during swing - rforelimb - shoulder (rad/s^2),-0.37205826088740984,-0.4134006861522963,away_from_healthy
Mean angle acceleration during swing - rforelimb - shoulder std,1.3390610423335443,0.46192074298881153,1.51367372519659,0.7497378385319993,10,10,0.40490575447732924,n.s.,Levene,Mean angle acceleration during swing - rforelimb - shoulder std,0.03593569110441286,0.057710703805477125,towards_healthy
Mean angle acceleration during swing - rforelimb - wrist (rad/s^2),-0.013494940713594864,1.0652695767633273,0.32819420120017684,1.1115925339667116,10,10,0.5800152895369741,n.s.,Circular,Mean angle acceleration during swing - rforelimb - wrist (rad/s^2),0.27169926713714,0.24956819315953216,towards_healthy
Mean angle acceleration during swing - rforelimb - wrist std,1.5370844868346363,0.47383406496245667,1.3846632419408855,0.6927940471262747,10,10,0.5677694514045413,n.s.,Levene,Mean angle acceleration during swing - rforelimb - wrist std,-0.04941358611574542,-0.08325806709487471,away_from_healthy
Mean angle acceleration during swing - rhindlimb - ankle (rad/s^2),-0.1250196565027965,1.0904981544595729,-0.30742397383764064,0.664934070395949,10,10,0.10019591236914668,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - ankle (rad/s^2),-0.08286141707522354,-0.09174814708008172,away_from_healthy
Mean angle acceleration during swing - rhindlimb - ankle std,1.0995849280873347,0.6447621475076905,1.1403673482546552,0.5927916996208186,10,10,0.9048697755791228,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - ankle std,-0.044573069044766545,-0.07197071532015824,away_from_healthy
Mean angle acceleration during swing - rhindlimb - hip (rad/s^2),0.2454653730879425,1.0928779217609048,-0.6781265588585313,0.9563186947811471,10,10,0.10518199789700339,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - hip (rad/s^2),0.7283415553447247,0.709282511898619,towards_healthy
Mean angle acceleration during swing - rhindlimb - hip std,1.556586696479913,0.5849917355013952,1.3436786227127235,0.5735757871529914,10,10,0.8595678220900896,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - hip std,-0.05699960473981047,-0.09839191369983605,away_from_healthy
Mean angle acceleration during swing - rhindlimb - knee (rad/s^2),0.05172021519699464,1.1277079093580344,-0.07143130970061995,1.1620037924212248,10,10,0.8957699728209403,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - knee (rad/s^2),-0.21805023734814832,-0.19043950530249007,away_from_healthy
Mean angle acceleration during swing - rhindlimb - knee std,1.117119812123602,0.5089528334422583,1.5013673248184485,0.5700278412191513,10,10,0.7706836016495562,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - knee std,-0.18392196009662531,-0.34037313678448433,away_from_healthy
Mean angle acceleration during swing - rhindlimb - lHindfingers (rad/s^2),-0.4603625505393655,0.9841710293218987,0.1221442768325856,1.2941652523871707,10,10,0.24978054505115788,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - lHindfingers (rad/s^2),0.2581935167906499,0.2245816467022146,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindfingers std,1.446482497590876,0.4931756031604588,1.1119990995812932,0.4748443828340738,10,10,0.7397035104947549,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - lHindfingers std,0.2912906945316238,0.6017199725358753,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindpaw (rad/s^2),0.39849030628194465,1.110867386425382,-0.17486768603182054,1.1796202688497157,10,10,0.4070227274566568,n.s.,Circular,Mean angle acceleration during swing - rhindlimb - lHindpaw (rad/s^2),0.34047858537249265,0.297164057762018,towards_healthy
Mean angle acceleration during swing - rhindlimb - lHindpaw std,1.3032529150183134,0.5832775214895012,1.5413100780076956,0.518233142793614,10,10,0.8443058189839794,n.s.,Levene,Mean angle acceleration during swing - rhindlimb - lHindpaw std,-0.022788219836760826,-0.04130435376249781,away_from_healthy
Mean angle acceleration during swing - spine - base (rad/s^2),-0.18829754443190794,0.7538087568763415,0.17888036404209331,1.036025958912533,10,10,0.3049249044160307,n.s.,Circular,Mean angle acceleration during swing - spine - base (rad/s^2),-0.0835530912917058,-0.09222461146192343,away_from_healthy
Mean angle acceleration during swing - spine - base std,1.430429221239174,0.6248961727354702,1.1366462707367726,0.3676362363578421,10,10,0.22729985101567546,n.s.,Levene,Mean angle acceleration during swing - spine - base std,0.16264804665997823,0.31725965122592303,towards_healthy
Mean angle acceleration during swing - spine - head (rad/s^2),-0.4539024490369078,1.3546164657862882,-0.49141745428415834,0.8097149588915377,10,10,0.1565899673679083,n.s.,Circular,Mean angle acceleration during swing - spine - head (rad/s^2),0.03178130681266517,0.02847951946056445,towards_healthy
Mean angle acceleration during swing - spine - head std,1.3673380495562069,0.8197123899632961,1.6570937125477023,0.5385466986866152,10,10,0.13492111221143335,n.s.,Levene,Mean angle acceleration during swing - spine - head std,0.05813411453453243,0.08382379880680017,towards_healthy
Mean angle acceleration during swing - spine - spine 1 (rad/s^2),-0.4421796978840332,0.9822148215540123,-0.29400183722831474,1.0088129458343613,10,10,0.8638472150167725,n.s.,Circular,Mean angle acceleration during swing - spine - spine 1 (rad/s^2),-0.4220633547825403,-0.42392748655578966,away_from_healthy
Mean angle acceleration during swing - spine - spine 1 std,1.355561434565297,0.5888562054875419,1.4419569668281287,0.7594355578089245,10,10,0.2488818497990932,n.s.,Levene,Mean angle acceleration during swing - spine - spine 1 std,0.06322845481479411,0.09304874673070734,towards_healthy
Mean angle acceleration during swing - spine - spine 2 (rad/s^2),-0.20817903986429226,1.0363640938454919,0.067164619221083,1.0721795586716047,10,10,0.4663337583323025,n.s.,Circular,Mean angle acceleration during swing - spine - spine 2 (rad/s^2),0.1824463095710405,0.17302937535917287,towards_healthy
Mean angle acceleration during swing - spine - spine 2 std,1.2031514045764227,0.7273055032834556,1.6252198979711525,0.7583049854233899,10,10,0.5227978148136135,n.s.,Levene,Mean angle acceleration during swing - spine - spine 2 std,0.22251203090631688,0.2994911605244518,towards_healthy
Mean angle acceleration during swing - spine - spine 3 (rad/s^2),0.44905545949980236,0.9862871350514473,0.1143609503107698,1.032602023490248,10,10,0.45376374132641584,n.s.,Circular,Mean angle acceleration during swing - spine - spine 3 (rad/s^2),-0.5426643558891402,-0.5374456675068896,away_from_healthy
Mean angle acceleration during swing - spine - spine 3 std,1.4388846644934339,0.6419327074176732,1.565838940256854,0.45158605680380215,10,10,0.09241886773072722,n.s.,Levene,Mean angle acceleration during swing - spine - spine 3 std,-0.13385338484485354,-0.24118557635434507,away_from_healthy
Mean angle acceleration during swing - spine - spine 4 (rad/s^2),0.12155424369955603,1.1014123176124968,0.6306525970079304,0.7830016753524294,10,10,0.25828686264248246,n.s.,Circular,Mean angle acceleration during swing - spine - spine 4 (rad/s^2),0.44001824654801414,0.4604806967773632,towards_healthy
Mean angle acceleration during swing - spine - spine 4 std,1.3658050761901035,0.5769125271141171,1.36756543378374,0.7275934628046979,10,10,0.47251749090464346,n.s.,Levene,Mean angle acceleration during swing - spine - spine 4 std,-0.006958323110196396,-0.010597671773727285,away_from_healthy
Mean angle acceleration during swing - tail - base (rad/s^2),0.6893783947105241,1.2537092577759215,-0.4796012204947764,0.9469467215074744,10,10,0.06947054745408535,n.s.,Circular,Mean angle acceleration during swing - tail - base (rad/s^2),0.26200838723500797,0.23583815361735444,towards_healthy
Mean angle acceleration during swing - tail - base std,1.160099418115149,0.6284668135080574,1.0720600714186284,0.6848875438148497,10,10,0.6093471594484114,n.s.,Levene,Mean angle acceleration during swing - tail - base std,-0.18849584157778,-0.28678040554660433,away_from_healthy
Mean angle acceleration during swing - tail - tail 1 (rad/s^2),0.556296938530787,1.019166949948869,-0.4697115313367501,1.337702784723832,10,10,0.2181019575940847,n.s.,Circular,Mean angle acceleration during swing - tail - tail 1 (rad/s^2),0.40885091971335663,0.343818115809041,towards_healthy
Mean angle acceleration during swing - tail - tail 1 std,1.152813172695416,0.4426461496688659,1.0680485180356052,0.6764666531969469,10,10,0.5423423492823869,n.s.,Levene,Mean angle acceleration during swing - tail - tail 1 std,-0.16364943758831196,-0.2862809933173036,away_from_healthy
Mean angle acceleration during swing - tail - tail 2 (rad/s^2),-0.025081770832394896,1.151084885645422,0.28025258490568844,1.1820025813315311,10,10,0.756880254508419,n.s.,Circular,Mean angle acceleration during swing - tail - tail 2 (rad/s^2),-0.1521243714026988,-0.1303946105266131,away_from_healthy
Mean angle acceleration during swing - tail - tail 2 std,1.1799899481374279,0.5402907215618024,1.2138358890281689,0.5638288446760068,10,10,0.9811803801239338,n.s.,Levene,Mean angle acceleration during swing - tail - tail 2 std,-0.10938692523356086,-0.1980982497779004,away_from_healthy
Mean angle acceleration during swing - tail - tail 3 (rad/s^2),0.36351364049267626,1.3734395394657855,0.0914001990632582,0.6556632860278054,10,10,0.06479632908288507,n.s.,Circular,Mean angle acceleration during swing - tail - tail 3 (rad/s^2),0.12248642154081915,0.11381828971122165,towards_healthy
Mean angle acceleration during swing - tail - tail 3 std,1.5098832750566087,0.6714281715580098,1.4608618148591692,0.6251466572334606,10,10,0.8124062237257417,n.s.,Levene,Mean angle acceleration during swing - tail - tail 3 std,-0.19715177163477593,-0.30391811852088424,away_from_healthy
Mean angle acceleration during swing - tail - tail 4 (rad/s^2),-0.2666808101324901,1.026718588067649,-0.012211175842217151,0.8213631935165282,10,10,0.49401430705160954,n.s.,Circular,Mean angle acceleration during swing - tail - tail 4 (rad/s^2),-0.23422005954841768,-0.2519231891814781,away_from_healthy
Mean angle acceleration during swing - tail - tail 4 std,1.5403295862437476,0.5821122893054208,1.180818461054347,0.8106542450206828,10,10,0.4360071809300289,n.s.,Levene,Mean angle acceleration during swing - tail - tail 4 std,0.20499716701285653,0.29048914799609965,towards_healthy
Mean angle at peak - rforelimb - elbow (°),113.54496729258403,3.3313182634860605,117.39739486220651,2.8356461131947266,10,10,0.012089012877116506,*,Circular,Mean angle at peak - rforelimb - elbow (°),1.924205368414249,0.6220304921414513,towards_healthy
Mean angle at peak - rforelimb - elbow std,3.8208942588724675,2.154768892168696,2.5832818151995594,0.9880820176998624,10,10,0.0160259893834261,*,Levene,Mean angle at peak - rforelimb - elbow std,0.7356095576929609,0.43885383448394905,towards_healthy
Mean angle at peak - rforelimb - lForepaw (°),167.09274517999543,3.9401080228296586,165.0278826712331,6.041290724707452,10,10,0.32444214814561945,n.s.,Circular,Mean angle at peak - rforelimb - lForepaw (°),-2.4439426562813082,-0.47919686645947424,away_from_healthy
Mean angle at peak - rforelimb - lForepaw std,3.7030578253033513,1.982879907168144,4.541335386730756,3.6064905788133887,10,10,0.16563439457591828,n.s.,Levene,Mean angle at peak - rforelimb - lForepaw std,-0.37958009893983036,-0.1304307052867433,away_from_healthy
Mean angle at peak - rforelimb - shoulder (°),52.80926338385276,5.492138472404541,49.71411846866869,6.448302053031443,10,10,0.2633134308407643,n.s.,Circular,Mean angle at peak - rforelimb - shoulder (°),-1.377722402402199,-0.2300294106880302,away_from_healthy
Mean angle at peak - rforelimb - shoulder std,10.550710641623917,3.758246497364344,7.0642472395089255,3.4663299753294887,10,10,0.8302925391466308,n.s.,Levene,Mean angle at peak - rforelimb - shoulder std,-2.0017986867935313,-0.5537117853901842,away_from_healthy
