feature,importance,change_score,change_effect_size,combined_rank,direction
Mean phase during stance - rhindlimb - lHindpaw (°)_sin,0.002663855449939679,-0.0007774903423892494,-0.6543030008625962,0.0017429686147597133,away_from_healthy
Mean angle during swing - rhindlimb - lHindfingers (°)_cos,0.0016006719636593187,-8.06468861815901e-05,-1.0608657922400702,0.001698098130843912,away_from_healthy
Mean step acceleration Y at swing - hip (m/s^2),0.003511747038015674,0.5177255180384851,0.4752087394107316,0.001668812883064799,towards_healthy
Mean step acceleration Y at stance - ankle (m/s^2),0.002142725393529465,1.5527847783076059,0.7224526243240216,0.0015480175837610838,towards_healthy
Mean phase at touchdown - rhindlimb - lHindpaw (°)_sin,0.002933335532854435,0.02348839021350019,0.5270822681294796,0.001546109145841711,towards_healthy
Mean phase value - rhindlimb - lHindpaw (°)_sin,0.001501158666605487,-0.06672526777395033,-0.9972312425744229,0.0014970023224003537,away_from_healthy
Mean angle at peak - rhindlimb - knee (°)_cos,0.006946011224191436,-0.010322475572113021,-0.21497221630966057,0.0014931994273762114,away_from_healthy
Mean phase velocity at swing - rhindlimb - ankle (rad/s)_cos,0.002777687599170356,0.3888138573511392,0.5355410204879498,0.0014875656514564159,towards_healthy
Mean angle at swing - rhindlimb - lHindfingers (°)_sin,0.0029503077669275402,-0.03374820477379581,-0.5003214087246974,0.0014761021381206032,away_from_healthy
Mean step jerk Y at peak - lHindpaw (m/s^3),0.02571745712817432,-20.872391399343996,-0.054188183752716085,0.0013935822925141082,away_from_healthy
Mean angle during stance - rhindlimb - lHindfingers (°)_sin,0.001930853174603175,-0.0007379888831065551,-0.6890557536884587,0.001330465489487944,away_from_healthy
Mean phase at touchdown - rhindlimb - knee (°)_cos,0.0040709620930471915,0.009183307298708976,0.3254117266673007,0.0013247388038956152,towards_healthy
Mean angle during swing - rhindlimb - lHindfingers (°)_sin,0.001282969023729893,-0.001749316762079782,-1.0236260869835936,0.0013132805614817916,away_from_healthy
Mean angle during stance - rhindlimb - lHindfingers (°)_cos,0.0018395358114741773,-3.579661688013491e-05,-0.699110598322577,0.0012860389817955194,away_from_healthy
Mean angle value - rhindlimb - ankle (°)_sin,0.0014518043682411063,-0.022561421601594134,-0.8757967441512206,0.0012714855388500806,away_from_healthy
Mean step velocity Y at stance - knee (m/s),0.0017080046699086944,0.025391603212516142,0.740650738803587,0.0012650349206478513,towards_healthy
Mean step height (m),0.0013715291244703006,0.00047666216148467165,0.9186197144447298,0.0012599136926735378,towards_healthy
Mean angle value - rhindlimb - lHindfingers (°)_cos,0.0013151801242236023,-0.028492878398157395,-0.8793180747785324,0.0011564616548192892,away_from_healthy
Mean phase at stance - rhindlimb - knee (°)_cos,0.0015368964977295267,0.02326931522332909,0.7440272668704856,0.0011434929006685212,towards_healthy
Mean phase at swing - rhindlimb - ankle (°)_cos,0.0011799380774678407,-0.0974271369047508,-0.9579826053456137,0.0011303601535991366,away_from_healthy
Mean phase at stance - rhindlimb - knee (°)_sin,0.0014336980623731986,0.03089931098725973,0.7766785208006258,0.0011135224903587393,towards_healthy
Mean step velocity Y at touchdown - lHindpaw (m/s),0.0017764928505025123,0.018976177420000295,0.6094392532442311,0.0010826644762039666,towards_healthy
Mean step velocity X during stance - lHindpaw (m/s),0.0017811161695329672,-0.009269240087424926,-0.6061569726936873,0.0010796359853398798,away_from_healthy
Mean step acceleration Y during stance - ankle (m/s^2),0.001960681339080137,0.18692678515513728,0.5399363799590392,0.0010586431844761706,towards_healthy
Mean step acceleration X at swing - ankle (m/s^2),0.0011442053409385536,2.3713297036494296,0.9249397871703555,0.0010583210445268899,towards_healthy
Mean step acceleration Y during swing - lHindpaw (m/s^2),0.0013478595911155388,0.4052319443651593,0.7647263496298246,0.0010307437449273338,towards_healthy
Mean step acceleration Y during stance - lHindpaw (m/s^2),0.0013185712837886754,0.4337534662993787,0.7770859458115508,0.0010246432131828735,towards_healthy
Mean step velocity X at swing - knee (m/s),0.00241661320506041,0.02402246322867943,0.41564076865482913,0.001004442970092719,towards_healthy
Mean angle velocity - rhindlimb - hip (rad/s)_sin,0.002093494921893912,0.05379205753134769,0.46958252933094263,0.0009830686405644274,towards_healthy
Mean phase acceleration at peak - rhindlimb - ankle (rad/s^2)_cos,0.0031910095510597463,0.21033279921494497,0.305247338483341,0.0009740471725359084,towards_healthy
Mean phase at swing - rhindlimb - ankle (°)_sin,0.0017704893721179364,-0.01272682736808195,-0.5495620677403037,0.0009729938002533651,away_from_healthy
Mean phase at touchdown - rhindlimb - ankle (°)_sin,0.0011680342354333038,0.04669155302926792,0.779634401215488,0.0009106396717412341,towards_healthy
Mean step jerk Y at swing - ankle (m/s^3),0.0013136302294197032,-156.69364504068568,-0.692900329576086,0.0009102148189060219,away_from_healthy
Mean step velocity X during stance - lHindfingers (m/s),0.003464354740096693,-0.00287173620807968,-0.2605402687723744,0.0009026039151076417,away_from_healthy
Mean angle at peak - rhindlimb - lHindfingers (°)_sin,0.004035100118791586,-0.037034878128684556,-0.21832638918042993,0.0008809688389172908,away_from_healthy
Mean angle excursion - rhindlimb - lHindfingers (°),0.0009487830687830687,-11.444365109710859,-0.9222433636494883,0.0008750088887281811,away_from_healthy
Mean phase velocity at stance - rhindlimb - knee (rad/s)_cos,0.0017300706665218347,-0.37893417171975485,-0.4993426194957218,0.0008638980185337223,away_from_healthy
Mean angle at peak - rhindlimb - lHindfingers (°)_cos,0.004914473119485224,-0.04118972481305272,-0.1755232993618722,0.0008626045365572789,away_from_healthy
