feature,value 1,value 2
Mean step acceleration Y at swing - ankle (m/s^2),0.42±1.56,3.15±1.70
Mean step acceleration Y at swing - hip (m/s^2),-0.75±0.95,-1.96±1.37
Mean step acceleration Y at swing - lHindfingers (m/s^2),4.85±2.49,6.46±1.92
Mean step acceleration Y at swing - lHindpaw (m/s^2),3.42 (median),6.61 (median)
Mean step acceleration Y at touchdown - ankle (m/s^2),3.81±1.55,6.37±1.34
Mean step acceleration Y at touchdown - lHindfingers (m/s^2),4.35±2.25,8.54±2.47
Mean step acceleration Y at touchdown - lHindpaw (m/s^2),6.52±2.65,10.11±3.06
Mean step acceleration Y during stance - ankle (m/s^2),0.60±0.28,1.02±0.36
Mean step acceleration Y during swing - ankle (m/s^2),-0.86±0.34,-1.28±0.36
Mean step jerk X at peak - hip (m/s^3),-106.93±211.53,143.05±317.38
Mean step jerk X at swing - ankle (m/s^3),453.27±290.11,131.85±314.69
Mean step jerk X at swing - knee (m/s^3),468.09±430.87,89.32±233.99
Mean step jerk X at touchdown - lHindpaw (m/s^3),1293.16 (median),1812.65 (median)
Mean step jerk Y at peak - ankle (m/s^3),-165.49±471.60,456.87±494.69
Mean step jerk Y at peak - lHindfingers (m/s^3),-789.95 (median),290.35 (median)
Mean step jerk Y at peak - lHindpaw (m/s^3),-528.46 (median),288.54 (median)
Mean step jerk Y at stance - lHindfingers (m/s^3),164.95±357.77,-330.58±217.14
Mean step jerk Y at swing - ankle (m/s^3),-14.16±199.71,-241.30±254.59
Mean step jerk Y during stance - lHindfingers (m/s^3),0.92 (median),-16.05 (median)
Mean step jerk Y during swing - lHindfingers (m/s^3),-15.22±24.10,7.33±23.35
Mean step velocity X at stance - lHindpaw (m/s),0.07 (median),0.04 (median)
Mean step velocity X during stance - lHindfingers (m/s),0.03±0.01,0.01±0.01
Mean step velocity X during stance - lHindpaw (m/s),0.05±0.02,0.03±0.01
Mean step velocity Y at peak - ankle (m/s),-0.05±0.04,-0.11±0.02
Mean step velocity Y at peak - lHindfingers (m/s),0.07±0.03,-0.00±0.03
Mean step velocity Y at peak - lHindpaw (m/s),0.04±0.02,-0.02±0.03
Mean step velocity Y at swing - ankle (m/s),0.05 (median),0.11 (median)
Mean step velocity Y at swing - hip (m/s),0.01±0.01,-0.00±0.01
Mean step velocity Y at swing - lHindpaw (m/s),0.06±0.02,0.09±0.02
Mean step velocity Y during stance - lHindpaw (m/s),0.02±0.01,0.02±0.00
